Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,74.1006,5.31759,0,0,1700571659
1,40.7874,5.31759,0,0,1700571659
1,58.1495,12.9392,0,0,1700571659
1,63.3107,6.23255,0,0,1700571659
1,63.037,6.49997,0,0,1700571659
1,62.4182,6.10209,0,0,1700571659
1,62.2717,5.72372,0,0,1700571659
1,60.9101,5.96288,0,0,1700571659
1,55.1928,6.56993,0,0,1700571659
1,51.1224,5.34666,0,0,1700571659
1,55.6451,2.51641,0,0,1700571659
1,60.5871,2.69067,0,0,1700571659
1,56.9063,7.19464,0,0,1700571659
1,51.4663,10.265,0,0,1700571659
1,50.5844,8.3093,0,0,1700571659
1,54.3342,6.63988,0,0,1700571659
1,61.8646,7.22023,0,0,1700571659
1,65.4249,5.97219,0,0,1700571659
1,60.63,4.01136,0,0,1700571659
1,55.8495,3.18899,0,0,1700571659
1,54.815,3.4811,0,0,1700571659
1,53.7194,7.41671,0,0,1700571659
1,54.8369,12.7294,0,0,1700571659
1,56.4933,12.4118,0,0,1700571659
1,54.6988,7.49528,0,0,1700571659
1,54.5582,3.96808,0,0,1700571659
1,57.2913,2.95197,0,0,1700571659
1,61.077,3.72743,0,0,1700571659
1,65.1208,5.85017,0,0,1700571659
1,66.1348,9.38887,0,0,1700571659
1,63.3498,5.31759,0,0,1700571659
1,57.1836,5.31759,0,0,1700571659
1,50.5797,12.0512,0,0,1700571659
1,48.0695,10.5445,0,0,1700571659
1,49.5939,8.41335,0,0,1700571659
1,52.8259,5.39512,0,0,1700571659
1,53.72,6.89728,0,0,1700571659
1,53.4249,9.1939,0,0,1700571659
1,56.4643,8.34026,0,0,1700571659
1,57.4071,7.96652,0,0,1700571659
1,54.7758,7.63436,0,0,1700571659
1,55.8822,5.63382,0,0,1700571659
1,57.6393,4.23487,0,0,1700571659
1,54.8484,4.40264,0,0,1700571659
1,53.4973,5.31596,0,0,1700571659
1,59.0079,5.84596,0,0,1700571659
1,65.6166,5.15523,0,0,1700571659
1,64.2099,5.80486,0,0,1700571659
1,57.5122,9.0822,0,0,1700571659
1,55.4565,11.1378,0,0,1700571659
1,58.5602,10.5388,0,0,1700571659
1,61.3991,8.28275,0,0,1700571659
1,62.4089,5.3408,0,0,1700571659
1,59.8499,4.94431,0,0,1700571659
1,54.8964,8.04162,0,0,1700571659
1,53.0347,11.4132,0,0,1700571659
1,53.5636,12.0513,0,0,1700571659
1,52.9069,10.0351,0,0,1700571659
1,50.4906,8.80803,0,0,1700571659
1,47.3231,10.9787,0,0,1700571659
1,46.7689,5.31759,0,0,1700571659
1,50.5895,5.31759,0,0,1700571659
1,56.2473,5.31759,0,0,1700571659
1,60.7556,10.3584,0,0,1700571659
1,62.5872,10.3262,0,0,1700571659
1,60.2337,13.2208,0,0,1700571659
1,55.4453,5.31759,0,0,1700571659
1,53.2443,10.4449,0,0,1700571659
1,54.0596,8.04181,0,0,1700571659
1,55.8014,8.56707,0,0,1700571659
1,56.4085,10.2137,0,0,1700571659
1,52.6404,12.3258,0,0,1700571659
1,50.1695,13.1609,0,0,1700571659
1,54.6225,12.0284,0,0,1700571659
1,57.9111,11.117,0,0,1700571659
1,56.7381,9.73595,0,0,1700571659
1,56.3211,7.63818,0,0,1700571659
1,55.2697,6.54934,0,0,1700571659
1,51.9373,6.55448,0,0,1700571659
1,50.4382,6.94017,0,0,1700571659
1,52.0724,6.01471,0,0,1700571659
1,52.7535,4.66447,0,0,1700571659
1,52.4594,5.93693,0,0,1700571659
1,55.5535,7.67013,0,0,1700571659
1,60.2665,7.73685,0,0,1700571659
1,63.2745,8.54849,0,0,1700571659
1,65.1348,9.53343,0,0,1700571659
1,63.0094,10.119,0,0,1700571659
1,58.1563,10.7938,0,0,1700571659
1,56.7006,9.96346,0,0,1700571659
1,54.4439,8.62464,0,0,1700571659
1,49.255,7.83773,0,0,1700571659
1,47.8844,7.83746,0,0,1700571659
1,47.7629,8.34874,0,0,1700571659
1,44.1074,7.01252,0,0,1700571659
1,42.8673,4.43514,0,0,1700571659
1,46.3036,3.54327,0,0,1700571659
1,50.2777,4.48792,0,0,1700571659
1,54.1474,5.87643,0,0,1700571659
1,56.3396,7.45679,0,0,1700571659
1,55.3926,7.83993,0,0,1700571659
1,53.6431,5.51746,0,0,1700571659
1,53.9854,3.38892,0,0,1700571659
1,57.706,3.84221,0,0,1700571659
1,60.9692,5.04801,0,0,1700571659
1,60.1645,5.67994,0,0,1700571659
1,57.1791,7.57514,0,0,1700571659
1,55.6794,9.92305,0,0,1700571659
1,58.0817,8.55175,0,0,1700571659
1,59.0095,5.78889,0,0,1700571659
1,54.5148,5.17791,0,0,1700571659
1,55.1039,4.91275,0,0,1700571659
1,60.6624,5.95199,0,0,1700571659
1,59.388,7.66471,0,0,1700571659
1,59.3657,6.553,0,0,1700571659
1,65.6627,4.8343,0,0,1700571659
1,64.5489,4.64812,0,0,1700571659
1,55.9042,5.4236,0,0,1700571659
1,49.5613,7.82219,0,0,1700571659
1,46.8505,9.8176,0,0,1700571659
1,48.3883,8.93283,0,0,1700571659
1,52.1396,7.1296,0,0,1700571659
1,53.8812,7.11372,0,0,1700571659
1,55.7134,8.53249,0,0,1700571659
1,56.0532,9.72739,0,0,1700571659
1,53.4483,11.0968,0,0,1700571659
1,53.3795,11.1996,0,0,1700571659
1,55.445,8.49899,0,0,1700571659
1,56.6728,5.99966,0,0,1700571659
1,56.043,5.78531,0,0,1700571659
1,54.4246,7.97126,0,0,1700571659
1,56.0801,10.0551,0,0,1700571659
1,59.6388,10.0548,0,0,1700571659
1,58.4038,9.43674,0,0,1700571659
1,52.2371,6.57962,0,0,1700571659
1,49.7342,3.82849,0,0,1700571659
1,51.7911,5.54326,0,0,1700571659
1,50.5018,7.09301,0,0,1700571659
1,46.3556,6.28081,0,0,1700571659
1,44.5531,7.03413,0,0,1700571659
1,47.1942,8.33099,0,0,1700571659
1,52.4196,7.02199,0,0,1700571659
1,58.7368,5.50065,0,0,1700571659
1,66.562,6.56657,0,0,1700571659
1,70.0788,8.55351,0,0,1700571659
1,64.5707,9.84946,0,0,1700571659
1,56.8585,9.86458,0,0,1700571659
1,55.344,8.65272,0,0,1700571659
1,57.9261,7.96497,0,0,1700571659
1,58.0481,7.34597,0,0,1700571659
1,55.6456,6.15018,0,0,1700571659
1,53.037,6.35324,0,0,1700571659
1,51.478,7.85853,0,0,1700571659
1,53.9685,9.10925,0,0,1700571659
1,59.5735,9.7785,0,0,1700571659
1,61.1054,9.77399,0,0,1700571659
1,55.017,8.25323,0,0,1700571659
1,49.2113,6.06445,0,0,1700571659
1,50.0185,5.68224,0,0,1700571659
1,50.7104,6.00037,0,0,1700571659
1,47.8468,7.96444,0,0,1700571659
1,45.9113,12.9819,0,0,1700571659
1,47.2248,5.31759,0,0,1700571659
1,52.6522,10.8922,0,0,1700571659
1,56.3493,7.11818,0,0,1700571659
1,54.1749,7.61778,0,0,1700571659
1,55.0174,10.1736,0,0,1700571659
1,58.9721,9.77656,0,0,1700571659
1,56.9217,8.51043,0,0,1700571659
1,53.1496,11.8867,0,0,1700571659
1,56.0895,5.31759,0,0,1700571659
1,66.8311,13.1119,0,0,1700571659
1,76.195,10.2832,0,0,1700571659
1,72.2478,12.0792,0,0,1700571659
1,61.072,5.31759,0,0,1700571659
1,52.3087,5.31759,0,0,1700571659
1,46.6995,11.0759,0,0,1700571659
1,47.8178,6.195,0,0,1700571659
1,53.2541,4.93599,0,0,1700571659
1,57.0524,8.01415,0,0,1700571659
1,60.5925,10.813,0,0,1700571659
1,61.8292,10.8712,0,0,1700571659
1,56.8963,8.51962,0,0,1700571659
1,50.7639,4.52541,0,0,1700571659
1,49.5354,3.28666,0,0,1700571659
1,52.26,6.89005,0,0,1700571659
1,54.4655,10.4144,0,0,1700571659
1,56.6447,10.0795,0,0,1700571659
1,63.5473,7.87734,0,0,1700571659
1,69.8374,6.40666,0,0,1700571659
1,64.7569,6.44949,0,0,1700571659
1,52.1378,9.48884,0,0,1700571659
1,45.5205,5.31759,0,0,1700571659
1,49.1986,5.31759,0,0,1700571659
1,56.0029,10.5883,0,0,1700571659
1,58.8274,7.95714,0,0,1700571659
1,58.7562,7.56199,0,0,1700571659
1,59.7,8.63403,0,0,1700571659
1,60.2714,10.3653,0,0,1700571659
1,57.3166,10.3689,0,0,1700571659
1,52.8109,8.94297,0,0,1700571659
1,51.6855,7.59783,0,0,1700571659
1,54.7994,5.82846,0,0,1700571659
1,57.8765,4.90973,0,0,1700571659
1,59.4417,5.43084,0,0,1700571659
1,59.7293,5.82446,0,0,1700571659
1,54.848,6.26212,0,0,1700571659
1,51.9841,6.76353,0,0,1700571659
1,59.9895,7.56479,0,0,1700571659
1,65.9363,8.57424,0,0,1700571659
1,61.7531,7.24104,0,0,1700571659
1,56.6654,4.33965,0,0,1700571659
1,54.071,2.78998,0,0,1700571659
1,53.5656,2.97889,0,0,1700571659
1,55.5629,4.83963,0,0,1700571659
1,56.6786,8.38593,0,0,1700571659
1,55.4664,12.9119,0,0,1700571659
1,55.2769,5.31759,0,0,1700571659
1,57.6522,10.355,0,0,1700571659
1,59.3087,5.05364,0,0,1700571659
1,58.7547,4.24025,0,0,1700571659
1,58.2995,7.52735,0,0,1700571659
1,58.4639,8.66075,0,0,1700571659
1,56.8132,7.36535,0,0,1700571659
1,51.1043,8.13029,0,0,1700571659
1,46.1135,8.71482,0,0,1700571659
1,48.6772,7.89268,0,0,1700571659
1,55.3154,8.80602,0,0,1700571659
1,61.3611,9.45099,0,0,1700571659
1,64.8943,8.4293,0,0,1700571659
1,65.3003,7.6545,0,0,1700571659
1,65.1872,6.17226,0,0,1700571659
1,61.8348,6.6634,0,0,1700571659
1,54.4208,10.0683,0,0,1700571659
1,50.7757,10.0472,0,0,1700571659
1,53.4849,7.15008,0,0,1700571659
1,56.3005,5.7019,0,0,1700571659
1,56.0192,5.48126,0,0,1700571659
1,57.901,7.8481,0,0,1700571659
1,63.8557,12.6364,0,0,1700571659
1,67.2701,5.31759,0,0,1700571659
1,64.3955,12.1877,0,0,1700571659
1,58.7659,11.2489,0,0,1700571659
1,55.7743,11.7029,0,0,1700571659
1,55.7149,11.2407,0,0,1700571659
1,55.2079,9.66602,0,0,1700571659
1,55.4833,9.17203,0,0,1700571659
1,58.2465,9.08112,0,0,1700571659
1,59.8095,6.26327,0,0,1700571659
1,60.3999,3.23252,0,0,1700571659
1,63.7112,3.86339,0,0,1700571659
1,64.5552,6.33101,0,0,1700571659
1,60.3063,6.35827,0,0,1700571659
1,58.0785,5.3462,0,0,1700571659
1,56.3711,6.99373,0,0,1700571659
1,51.7221,7.64636,0,0,1700571659
1,48.3539,6.42214,0,0,1700571659
1,47.3449,8.43371,0,0,1700571659
1,50.8797,10.4718,0,0,1700571659
1,57.1688,8.10542,0,0,1700571659
1,57.7538,6.19765,0,0,1700571659
1,56.8051,8.33235,0,0,1700571659
1,60.4497,10.1647,0,0,1700571659
1,62.3739,8.90407,0,0,1700571659
1,61.0681,8.61156,0,0,1700571659
1,61.3885,10.8795,0,0,1700571659
1,60.0904,11.2985,0,0,1700571659
1,54.3774,8.03292,0,0,1700571659
1,52.8838,4.50348,0,0,1700571659
1,56.025,3.18165,0,0,1700571659
1,53.8945,3.13103,0,0,1700571659
1,54.5543,4.46522,0,0,1700571659
1,65.35,7.47129,0,0,1700571659
1,71.1238,9.83595,0,0,1700571659
1,65.1069,10.75,0,0,1700571659
1,58.1401,12.6521,0,0,1700571659
1,57.0443,5.31759,0,0,1700571659
1,59.7646,5.31759,0,0,1700571659
1,62.3043,12.4889,0,0,1700571659
1,62.936,10.2264,0,0,1700571659
1,61.7219,11.5518,0,0,1700571659
1,59.4808,13.035,0,0,1700571659
1,57.4476,11.7892,0,0,1700571659
