Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,65.0321,5.94613,0,0,1700571995
1,65.0321,5.94613,0,0,1700571996
1,43.8981,12.3548,0,0,1700571996
1,53.5946,8.67193,0,0,1700571996
1,58.822,8.79651,0,0,1700571996
1,59.7536,7.73234,0,0,1700571996
1,57.5353,5.7709,0,0,1700571996
1,56.6358,5.24172,0,0,1700571996
1,59.7091,8.42726,0,0,1700571996
1,64.7762,10.3306,0,0,1700571996
1,65.6686,7.85305,0,0,1700571996
1,59.6454,5.23217,0,0,1700571996
1,53.3127,7.03764,0,0,1700571996
1,54.413,11.5647,0,0,1700571996
1,58.6199,11.8344,0,0,1700571996
1,58.4169,8.73421,0,0,1700571996
1,57.4478,7.86516,0,0,1700571996
1,55.1685,7.06286,0,0,1700571996
1,49.062,5.28109,0,0,1700571996
1,47.9327,4.5682,0,0,1700571996
1,53.4119,4.35999,0,0,1700571996
1,59.3203,4.83775,0,0,1700571996
1,61.2986,6.14717,0,0,1700571996
1,59.1971,9.23755,0,0,1700571996
1,61.0958,12.1798,0,0,1700571996
1,65.0716,9.52491,0,0,1700571996
1,60.4674,4.34599,0,0,1700571996
1,51.5276,2.37477,0,0,1700571996
1,50.2852,3.02618,0,0,1700571996
1,55.3558,4.89042,0,0,1700571996
1,58.4137,7.54695,0,0,1700571996
1,60.9621,9.12544,0,0,1700571996
1,63.767,7.10649,0,0,1700571996
1,62.6686,4.22827,0,0,1700571996
1,58.7273,4.28809,0,0,1700571996
1,55.3754,4.85815,0,0,1700571996
1,55.1922,4.53582,0,0,1700571996
1,56.5234,5.53263,0,0,1700571996
1,57.0862,8.374,0,0,1700571996
1,57.4662,11.6116,0,0,1700571996
1,55.3332,12.245,0,0,1700571996
1,52.8047,8.98669,0,0,1700571996
1,55.6413,5.84614,0,0,1700571996
1,60.0452,5.28483,0,0,1700571996
1,58.7054,5.00518,0,0,1700571996
1,54.5847,4.39556,0,0,1700571996
1,55.1112,4.55621,0,0,1700571996
1,60.1975,5.63388,0,0,1700571996
1,62.8399,8.81796,0,0,1700571996
1,60.1307,13.5674,0,0,1700571996
1,57.3771,5.94613,0,0,1700571996
1,57.5789,11.8138,0,0,1700571996
1,57.8187,10.5786,0,0,1700571996
1,56.4162,9.88695,0,0,1700571996
1,55.6952,7.13309,0,0,1700571996
1,57.5237,4.54484,0,0,1700571996
1,60.8248,3.35382,0,0,1700571996
1,62.4808,5.08098,0,0,1700571996
1,59.3186,9.57484,0,0,1700571996
1,55.5854,11.5185,0,0,1700571996
1,56.2686,11.3536,0,0,1700571996
1,57.7523,11.5956,0,0,1700571996
1,58.0205,8.5903,0,0,1700571996
1,58.4361,4.03417,0,0,1700571996
1,59.7932,3.49178,0,0,1700571996
1,61.7466,6.58999,0,0,1700571996
1,62.2109,9.34078,0,0,1700571996
1,61.2776,10.3545,0,0,1700571996
1,58.4661,10.5092,0,0,1700571996
1,52.0603,8.78871,0,0,1700571996
1,46.9016,6.28762,0,0,1700571996
1,49.1809,4.80992,0,0,1700571996
1,54.1004,6.3538,0,0,1700571996
1,55.4622,10.7696,0,0,1700571996
1,58.1639,10.9078,0,0,1700571996
1,62.734,6.5503,0,0,1700571996
1,60.7308,4.95824,0,0,1700571996
1,55.6099,6.63712,0,0,1700571996
1,55.5882,7.23568,0,0,1700571996
1,55.9557,5.07515,0,0,1700571996
1,51.5912,3.44235,0,0,1700571996
1,47.163,3.79355,0,0,1700571996
1,48.1114,4.03913,0,0,1700571996
1,51.1473,4.94294,0,0,1700571996
1,51.9776,6.64632,0,0,1700571996
1,51.9535,6.64876,0,0,1700571996
1,52.2681,4.93892,0,0,1700571996
1,55.6815,3.89215,0,0,1700571996
1,61.7349,4.48602,0,0,1700571996
1,65.2871,5.42877,0,0,1700571996
1,65.8001,6.00003,0,0,1700571996
1,65.7695,6.05698,0,0,1700571996
1,66.3709,5.25389,0,0,1700571996
1,64.7861,4.47144,0,0,1700571996
1,60.1963,3.73329,0,0,1700571996
1,57.8028,2.70387,0,0,1700571996
1,59.0596,1.89504,0,0,1700571996
1,58.1032,4.11917,0,0,1700571996
1,51.5133,9.5753,0,0,1700571996
1,46.8755,11.002,0,0,1700571996
1,53.4702,7.5151,0,0,1700571996
1,65.3169,5.00969,0,0,1700571996
1,69.2408,5.09044,0,0,1700571996
1,66.688,6.8733,0,0,1700571996
1,62.4989,6.90969,0,0,1700571996
1,55.7569,4.06439,0,0,1700571996
1,52.9768,3.36334,0,0,1700571996
1,54.9761,5.74572,0,0,1700571996
1,53.7939,6.8079,0,0,1700571996
1,51.5148,5.95718,0,0,1700571996
1,52.9079,5.04155,0,0,1700571996
1,57.6605,4.98205,0,0,1700571996
1,65.0231,6.75422,0,0,1700571996
1,69.8979,7.68573,0,0,1700571996
1,67.5112,5.20532,0,0,1700571996
1,62.2997,3.88682,0,0,1700571996
1,60.0941,6.56729,0,0,1700571996
1,60.14,8.41869,0,0,1700571996
1,59.9365,7.76522,0,0,1700571996
1,59.1569,8.7082,0,0,1700571996
1,57.7305,11.7067,0,0,1700571996
1,55.444,12.2946,0,0,1700571996
1,53.1693,9.62094,0,0,1700571996
1,53.5119,8.4471,0,0,1700571996
1,57.869,8.45457,0,0,1700571996
1,61.3477,6.24514,0,0,1700571996
1,60.8863,4.1673,0,0,1700571996
1,61.5182,3.1171,0,0,1700571996
1,63.0732,1.94593,0,0,1700571996
1,60.4368,2.12473,0,0,1700571996
1,56.1027,2.76139,0,0,1700571996
1,54.4538,2.89674,0,0,1700571996
1,55.2012,4.57182,0,0,1700571996
1,56.7786,6.25887,0,0,1700571996
1,57.7452,4.95849,0,0,1700571996
1,59.5505,4.60601,0,0,1700571996
1,62.345,7.26677,0,0,1700571996
1,59.2903,6.72265,0,0,1700571996
1,50.0232,3.21506,0,0,1700571996
1,44.2222,3.41249,0,0,1700571996
