Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,67.2512,5.70005,0,0,1700572054
1,50.5695,5.70005,0,0,1700572054
1,48.812,6.8875,0,0,1700572054
1,49.8488,6.62164,0,0,1700572054
1,51.7631,6.52867,0,0,1700572054
1,53.621,6.39516,0,0,1700572054
1,54.5658,6.18678,0,0,1700572054
1,54.7807,6.31247,0,0,1700572054
1,54.7322,6.76155,0,0,1700572054
1,54.1733,7.14416,0,0,1700572054
1,53.3562,7.43084,0,0,1700572054
1,53.0056,7.59727,0,0,1700572054
1,53.298,7.50269,0,0,1700572054
1,53.9951,7.38829,0,0,1700572054
1,54.5284,7.47507,0,0,1700572054
1,54.5277,7.54,0,0,1700572054
1,54.4398,7.51027,0,0,1700572054
1,54.766,7.62356,0,0,1700572054
1,55.3292,7.83826,0,0,1700572054
1,55.8448,7.85525,0,0,1700572054
1,56.2591,7.68158,0,0,1700572054
1,56.4364,7.56471,0,0,1700572054
1,56.3747,7.59245,0,0,1700572054
1,56.3232,7.68393,0,0,1700572054
1,56.3745,7.71509,0,0,1700572054
1,56.3836,7.71796,0,0,1700572054
1,56.2443,7.82525,0,0,1700572054
1,56.0511,7.96117,0,0,1700572054
1,55.8813,8.03458,0,0,1700572054
1,55.71,8.08886,0,0,1700572054
1,55.5555,8.10537,0,0,1700572054
1,55.3517,8.08703,0,0,1700572054
1,54.9979,8.10864,0,0,1700572054
1,54.5961,8.16994,0,0,1700572054
1,54.3254,8.21443,0,0,1700572054
1,54.2158,8.22902,0,0,1700572054
1,54.1689,8.21471,0,0,1700572054
1,54.0795,8.13519,0,0,1700572054
1,53.9285,8.02727,0,0,1700572054
1,53.7821,7.98693,0,0,1700572054
1,53.6936,7.97216,0,0,1700572054
1,53.6645,7.93238,0,0,1700572054
1,53.6567,7.94643,0,0,1700572054
1,53.6162,8.01238,0,0,1700572054
1,53.5919,8.0324,0,0,1700572054
1,53.6569,7.99776,0,0,1700572054
1,53.7284,7.98129,0,0,1700572054
1,53.7348,8.00561,0,0,1700572054
1,53.7251,8.04076,0,0,1700572054
1,53.7509,8.09017,0,0,1700572054
1,53.8063,8.13725,0,0,1700572054
1,53.8311,8.14181,0,0,1700572054
1,53.8561,8.15166,0,0,1700572054
1,53.9429,8.22069,0,0,1700572054
1,54.0191,8.29124,0,0,1700572054
1,54.0656,8.28971,0,0,1700572054
1,54.1409,8.22472,0,0,1700572054
1,54.2305,8.1582,0,0,1700572054
1,54.3013,8.1404,0,0,1700572054
1,54.3184,8.16424,0,0,1700572054
1,54.2564,8.18215,0,0,1700572054
1,54.1797,8.15529,0,0,1700572054
1,54.1591,8.0937,0,0,1700572054
1,54.1858,8.03584,0,0,1700572054
1,54.2253,7.99681,0,0,1700572054
1,54.2317,7.99537,0,0,1700572054
1,54.1666,8.02918,0,0,1700572054
1,54.0374,8.04793,0,0,1700572054
1,53.9054,8.02985,0,0,1700572054
1,53.8485,7.98126,0,0,1700572054
1,53.8406,7.92258,0,0,1700572054
1,53.8119,7.88961,0,0,1700572054
1,53.8061,7.88502,0,0,1700572054
1,53.865,7.91077,0,0,1700572054
1,53.9284,7.88129,0,0,1700572054
1,53.9416,7.85259,0,0,1700572054
1,53.9089,7.91283,0,0,1700572054
1,53.8566,7.93467,0,0,1700572054
1,53.7887,7.95691,0,0,1700572054
1,53.6823,7.95509,0,0,1700572054
1,53.54,7.91142,0,0,1700572054
1,53.4103,7.86763,0,0,1700572054
1,53.3652,7.86857,0,0,1700572054
1,53.414,7.91834,0,0,1700572054
1,53.4984,7.96824,0,0,1700572054
1,53.6309,7.96196,0,0,1700572054
1,53.7961,7.89953,0,0,1700572054
1,53.8788,7.82707,0,0,1700572054
1,53.8704,7.7925,0,0,1700572054
1,53.8399,7.80022,0,0,1700572054
1,53.7998,7.8017,0,0,1700572054
1,53.7473,7.76532,0,0,1700572054
1,53.6698,7.70542,0,0,1700572054
1,53.5661,7.65148,0,0,1700572054
1,53.4671,7.63341,0,0,1700572054
1,53.4042,7.64839,0,0,1700572054
1,53.4092,7.65506,0,0,1700572054
1,53.453,7.62675,0,0,1700572054
1,53.4556,7.59584,0,0,1700572054
1,53.4305,7.61133,0,0,1700572054
1,53.4299,7.65222,0,0,1700572054
1,53.4401,7.67438,0,0,1700572054
1,53.4476,7.69296,0,0,1700572054
1,53.4481,7.7234,0,0,1700572054
1,53.4681,7.74928,0,0,1700572054
1,53.5669,7.76203,0,0,1700572054
1,53.6965,7.7655,0,0,1700572054
1,53.7586,7.76521,0,0,1700572054
1,53.7577,7.75815,0,0,1700572054
1,53.727,7.74502,0,0,1700572054
1,53.6824,7.73477,0,0,1700572054
1,53.6455,7.73443,0,0,1700572054
1,53.6126,7.75009,0,0,1700572054
1,53.5873,7.77265,0,0,1700572054
1,53.5833,7.78381,0,0,1700572054
1,53.579,7.78362,0,0,1700572054
1,53.5725,7.79126,0,0,1700572054
1,53.5814,7.81104,0,0,1700572054
1,53.5744,7.82956,0,0,1700572054
1,53.5196,7.84704,0,0,1700572054
1,53.4632,7.85256,0,0,1700572054
1,53.4743,7.83628,0,0,1700572054
1,53.5358,7.82777,0,0,1700572054
1,53.5703,7.84319,0,0,1700572054
1,53.5616,7.8639,0,0,1700572054
1,53.5422,7.87088,0,0,1700572054
1,53.5064,7.85254,0,0,1700572054
1,53.465,7.8277,0,0,1700572054
1,53.4598,7.83317,0,0,1700572054
1,53.4832,7.85476,0,0,1700572054
1,53.5078,7.84818,0,0,1700572054
1,53.5222,7.81395,0,0,1700572054
1,53.5292,7.77626,0,0,1700572054
1,53.5394,7.74956,0,0,1700572054
1,53.5438,7.7521,0,0,1700572054
1,53.5349,7.77842,0,0,1700572054
1,53.5248,7.79419,0,0,1700572054
1,53.526,7.7932,0,0,1700572054
1,53.5246,7.79896,0,0,1700572054
1,53.5031,7.81447,0,0,1700572054
1,53.467,7.82952,0,0,1700572054
1,53.4218,7.84498,0,0,1700572054
1,53.3855,7.85109,0,0,1700572054
1,53.3642,7.83397,0,0,1700572054
1,53.3193,7.79858,0,0,1700572054
1,53.257,7.75768,0,0,1700572054
1,53.2331,7.73278,0,0,1700572054
1,53.2328,7.73897,0,0,1700572054
1,53.2074,7.76283,0,0,1700572054
1,53.1788,7.78145,0,0,1700572054
1,53.1767,7.78618,0,0,1700572054
1,53.1815,7.7818,0,0,1700572054
1,53.179,7.77768,0,0,1700572054
1,53.1747,7.79067,0,0,1700572054
1,53.1611,7.82854,0,0,1700572054
1,53.1246,7.8149,0,0,1700572054
1,53.0883,7.83382,0,0,1700572054
1,53.0971,7.845,0,0,1700572054
1,53.1379,7.85871,0,0,1700572054
1,53.1635,7.86717,0,0,1700572054
1,53.1742,7.87067,0,0,1700572054
1,53.1841,7.88212,0,0,1700572054
1,53.1925,7.90279,0,0,1700572054
1,53.2001,7.92055,0,0,1700572054
1,53.192,7.92898,0,0,1700572054
1,53.168,7.93166,0,0,1700572054
1,53.1462,7.93559,0,0,1700572054
1,53.1265,7.94124,0,0,1700572054
1,53.1162,7.94505,0,0,1700572054
1,53.1215,7.95124,0,0,1700572054
1,53.1199,7.96416,0,0,1700572054
1,53.0959,7.97699,0,0,1700572054
1,53.0695,7.9832,0,0,1700572054
1,53.068,7.98569,0,0,1700572054
1,53.0937,7.98174,0,0,1700572054
1,53.1174,7.96714,0,0,1700572054
1,53.119,7.9489,0,0,1700572054
1,53.1284,7.93373,0,0,1700572054
1,53.1673,7.92206,0,0,1700572054
1,53.2094,7.91682,0,0,1700572054
1,53.228,7.92186,0,0,1700572054
1,53.227,7.92782,0,0,1700572054
1,53.2357,7.92112,0,0,1700572054
1,53.2545,7.91062,0,0,1700572054
1,53.2486,7.91461,0,0,1700572054
1,53.2049,7.92848,0,0,1700572054
1,53.1493,7.93488,0,0,1700572054
1,53.1217,7.92894,0,0,1700572054
