Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,67.2512,5.70005,0,0,1700572054
1,33.8877,5.70005,0,0,1700572054
1,45.297,9.26239,0,0,1700572054
1,52.9591,5.82406,0,0,1700572054
1,59.4206,6.15682,0,0,1700572054
1,62.9106,5.72763,0,0,1700572054
1,60.2341,4.93645,0,0,1700572054
1,56.285,7.19233,0,0,1700572054
1,54.3447,10.3542,0,0,1700572054
1,49.1429,10.5876,0,0,1700572054
1,45.1851,10.2977,0,0,1700572054
1,49.1497,9.42798,0,0,1700572054
1,56.806,6.3677,0,0,1700572054
1,63.0583,5.90115,0,0,1700572054
1,61.9941,8.69002,0,0,1700572054
1,54.5175,8.51391,0,0,1700572054
1,53.0328,7.03459,0,0,1700572054
1,60.3122,9.54941,0,0,1700572054
1,65.4656,11.7029,0,0,1700572054
1,65.6426,8.17806,0,0,1700572054
1,64.5433,4.2081,0,0,1700572054
1,60.1595,5.11061,0,0,1700572054
1,55.0182,8.20275,0,0,1700572054
1,55.14,9.78793,0,0,1700572054
1,57.604,8.4629,0,0,1700572054
1,56.6119,7.78966,0,0,1700572054
1,52.6229,10.6149,0,0,1700572054
1,50.8348,11.631,0,0,1700572054
1,51.1264,10.0901,0,0,1700572054
1,50.741,9.66295,0,0,1700572054
1,50.9231,8.60059,0,0,1700572054
1,49.0339,7.5184,0,0,1700572054
1,43.6737,8.80037,0,0,1700572054
1,41.3371,10.1926,0,0,1700572054
1,45.1217,9.7271,0,0,1700572054
1,50.3819,8.73989,0,0,1700572054
1,52.4782,7.69946,0,0,1700572054
1,50.7717,5.1929,0,0,1700572054
1,48.1904,3.92624,0,0,1700572054
1,48.075,6.41381,0,0,1700572054
1,50.1525,7.38144,0,0,1700572054
1,52.4711,6.30137,0,0,1700572054
1,53.331,8.53623,0,0,1700572054
1,51.8721,10.8482,0,0,1700572054
1,52.5252,8.91348,0,0,1700572054
1,56.5785,6.43894,0,0,1700572054
1,57.0196,7.2237,0,0,1700572054
1,54.034,9.14861,0,0,1700572054
1,53.2612,9.72789,0,0,1700572054
1,55.016,10.5112,0,0,1700572054
1,56.5724,10.4912,0,0,1700572054
1,55.098,8.37457,0,0,1700572054
1,55.1565,8.66384,0,0,1700572054
1,58.5426,11.8795,0,0,1700572054
1,58.1331,12.1009,0,0,1700572054
1,56.6249,8.20558,0,0,1700572054
1,58.3591,4.58492,0,0,1700572054
1,59.3378,4.36649,0,0,1700572054
1,58.4067,7.10813,0,0,1700572054
1,55.3281,9.57068,0,0,1700572054
1,50.5346,9.25687,0,0,1700572054
1,49.4976,6.51704,0,0,1700572054
1,52.8827,4.27485,0,0,1700572054
1,55.8671,4.3911,0,0,1700572054
1,56.7595,5.49898,0,0,1700572054
1,54.642,7.90174,0,0,1700572054
1,49.8703,10.2603,0,0,1700572054
1,45.3868,9.30418,0,0,1700572054
1,44.9266,6.80056,0,0,1700572054
1,49.9247,4.62868,0,0,1700572054
1,53.2816,3.81479,0,0,1700572054
1,51.7758,5.54879,0,0,1700572054
1,53.3925,7.55455,0,0,1700572054
1,58.1646,9.79022,0,0,1700572054
1,58.6202,5.70005,0,0,1700572054
1,54.9287,5.70005,0,0,1700572054
1,51.424,12.491,0,0,1700572054
1,49.8295,9.61653,0,0,1700572054
1,48.4896,9.69155,0,0,1700572054
1,45.2767,7.81108,0,0,1700572054
1,42.1622,4.41805,0,0,1700572054
1,42.9015,4.32051,0,0,1700572054
1,49.6679,7.94591,0,0,1700572054
1,57.4663,12.0487,0,0,1700572054
1,60.5888,12.1598,0,0,1700572054
1,64.8864,7.42864,0,0,1700572054
1,68.0025,2.53056,0,0,1700572054
1,61.0794,1.52299,0,0,1700572054
1,53.1336,4.75033,0,0,1700572054
1,51.1205,8.4875,0,0,1700572054
1,50.1883,7.93507,0,0,1700572054
1,48.9762,4.45392,0,0,1700572054
1,46.5374,2.19499,0,0,1700572054
1,43.9233,2.63473,0,0,1700572054
1,44.1587,5.93504,0,0,1700572054
1,47.4316,9.07143,0,0,1700572054
1,53.8899,8.29513,0,0,1700572054
1,57.7022,4.88144,0,0,1700572054
1,53.7048,4.56682,0,0,1700572054
1,50.9436,9.14467,0,0,1700572054
1,53.3711,11.7408,0,0,1700572054
1,54.4691,9.91292,0,0,1700572054
1,54.2147,9.58744,0,0,1700572054
1,53.5038,10.8586,0,0,1700572054
1,55.5411,10.4408,0,0,1700572054
1,63.9439,9.10098,0,0,1700572054
1,67.4339,8.13415,0,0,1700572054
1,60.4037,7.73403,0,0,1700572054
1,53.6564,6.99577,0,0,1700572054
1,50.3895,6.31336,0,0,1700572054
1,48.7671,6.60788,0,0,1700572054
1,49.5576,7.69605,0,0,1700572054
1,49.925,9.50392,0,0,1700572054
1,50.7237,10.322,0,0,1700572054
1,53.1296,9.05649,0,0,1700572054
1,53.0908,7.76185,0,0,1700572054
1,52.8128,8.6775,0,0,1700572054
1,54.6267,10.125,0,0,1700572054
1,52.7414,10.0145,0,0,1700572054
1,47.0019,9.92788,0,0,1700572054
1,46.695,8.51508,0,0,1700572054
1,54.8222,5.86555,0,0,1700572054
1,61.0312,6.78933,0,0,1700572054
1,57.8176,9.74028,0,0,1700572054
1,52.4843,10.4315,0,0,1700572054
1,51.1121,8.74443,0,0,1700572054
1,49.0011,5.54094,0,0,1700572054
1,48.2099,4.67342,0,0,1700572054
1,52.7925,8.53286,0,0,1700572054
1,56.495,10.6408,0,0,1700572054
1,56.7111,6.99212,0,0,1700572054
1,55.4032,3.33044,0,0,1700572054
1,54.4551,2.80053,0,0,1700572054
1,54.9053,4.19848,0,0,1700572054
1,54.134,8.09248,0,0,1700572054
1,52.3209,11.3316,0,0,1700572054
1,52.1544,9.93932,0,0,1700572054
1,53.6887,7.65686,0,0,1700572054
1,53.3345,8.59346,0,0,1700572054
1,50.5181,9.9716,0,0,1700572054
1,48.4171,9.93626,0,0,1700572054
1,47.0381,10.0242,0,0,1700572054
1,48.2423,8.7195,0,0,1700572054
1,50.3117,5.38573,0,0,1700572054
1,46.8585,2.70204,0,0,1700572054
1,44.2178,1.82765,0,0,1700572054
1,49.7379,4.09718,0,0,1700572054
1,53.199,8.64793,0,0,1700572054
1,49.4477,11.2946,0,0,1700572054
1,48.9122,10.5562,0,0,1700572054
1,52.871,8.49492,0,0,1700572054
1,53.9031,7.12099,0,0,1700572054
1,52.8006,7.15192,0,0,1700572054
1,52.5164,9.77787,0,0,1700572054
1,51.0676,13.6608,0,0,1700572054
1,47.4654,5.70005,0,0,1700572054
1,47.4274,10.7854,0,0,1700572054
1,54.4733,9.60032,0,0,1700572054
1,59.5854,10.0255,0,0,1700572054
1,57.2375,9.21182,0,0,1700572054
1,54.8846,8.43069,0,0,1700572054
1,54.7753,9.72612,0,0,1700572054
1,54.5501,11.2508,0,0,1700572054
1,54.4416,10.816,0,0,1700572054
1,51.8575,9.31149,0,0,1700572054
1,49.2194,8.37358,0,0,1700572054
1,49.5151,8.58685,0,0,1700572054
1,49.8335,8.88504,0,0,1700572054
1,51.3892,8.58635,0,0,1700572054
1,54.0294,8.99668,0,0,1700572054
1,52.8434,10.1615,0,0,1700572054
1,48.9912,10.1699,0,0,1700572054
1,48.5299,9.05125,0,0,1700572054
1,52.8053,8.41706,0,0,1700572054
1,57.5595,7.29376,0,0,1700572054
1,57.2735,5.41182,0,0,1700572054
1,53.3974,4.73845,0,0,1700572054
1,54.795,5.24958,0,0,1700572054
1,60.0846,5.84369,0,0,1700572054
1,60.7462,6.97922,0,0,1700572054
1,56.57,8.83014,0,0,1700572054
1,53.0589,9.00631,0,0,1700572054
1,54.8166,6.70105,0,0,1700572054
1,56.6959,5.98995,0,0,1700572054
1,52.1615,8.64768,0,0,1700572054
1,45.1209,10.4946,0,0,1700572054
1,42.7973,9.12602,0,0,1700572054
1,47.9594,6.81844,0,0,1700572054
1,54.0569,4.74712,0,0,1700572054
1,54.4944,4.25563,0,0,1700572054
1,52.2913,6.84199,0,0,1700572054
1,51.8614,9.96575,0,0,1700572054
