Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,67.1352,5.70414,0,0,1700572127
1,33.7766,5.70414,0,0,1700572127
1,51.9001,5.70414,0,0,1700572127
1,58.815,11.8098,0,0,1700572127
1,58.1534,9.15127,0,0,1700572127
1,59.6988,7.03477,0,0,1700572127
1,62.5562,5.09904,0,0,1700572127
1,60.8959,4.82525,0,0,1700572127
1,57.5701,7.73542,0,0,1700572127
1,54.8095,11.1154,0,0,1700572127
1,52.6029,11.7605,0,0,1700572127
1,54.363,9.90769,0,0,1700572127
1,55.8876,6.81613,0,0,1700572127
1,51.9785,4.07057,0,0,1700572127
1,49.3435,3.60986,0,0,1700572127
1,50.2196,5.38314,0,0,1700572127
1,46.9818,6.43347,0,0,1700572127
1,40.9554,5.05547,0,0,1700572127
1,40.5349,5.06878,0,0,1700572127
1,45.6252,7.83171,0,0,1700572127
1,49.0746,8.38458,0,0,1700572127
1,50.4958,5.45422,0,0,1700572127
1,55.2133,2.82659,0,0,1700572127
1,59.8131,2.77449,0,0,1700572127
1,60.1014,5.09115,0,0,1700572127
1,60.159,7.33405,0,0,1700572127
1,60.9895,7.55593,0,0,1700572127
1,60.2679,6.95898,0,0,1700572127
1,58.4829,6.54578,0,0,1700572127
1,56.7546,6.17456,0,0,1700572127
1,55.4641,6.86878,0,0,1700572127
1,56.8345,10.0925,0,0,1700572127
1,59.5142,13.2145,0,0,1700572127
1,55.4674,11.6495,0,0,1700572127
1,46.6234,7.20354,0,0,1700572127
1,46.0345,4.98334,0,0,1700572127
1,52.1968,5.14295,0,0,1700572127
1,53.1236,5.93445,0,0,1700572127
1,50.2135,8.08152,0,0,1700572127
1,48.7737,11.945,0,0,1700572127
1,47.3273,14.01,0,0,1700572127
1,45.5893,10.5395,0,0,1700572127
1,44.0342,4.90846,0,0,1700572127
1,45.9177,3.40474,0,0,1700572127
1,51.2005,5.52521,0,0,1700572127
1,52.0218,6.25839,0,0,1700572127
1,51.0196,4.92109,0,0,1700572127
1,53.2072,5.69536,0,0,1700572127
1,55.6439,10.0623,0,0,1700572127
1,60.6445,12.984,0,0,1700572127
1,63.5667,9.70006,0,0,1700572127
1,56.9333,4.99417,0,0,1700572127
1,52.9322,6.01287,0,0,1700572127
1,57.9375,8.59032,0,0,1700572127
1,61.1853,6.38952,0,0,1700572127
1,63.9618,3.07781,0,0,1700572127
1,69.4393,3.18313,0,0,1700572127
1,64.958,5.61772,0,0,1700572127
1,50.0854,8.87011,0,0,1700572127
1,43.6882,10.0894,0,0,1700572127
1,49.3382,8.08514,0,0,1700572127
1,52.4503,9.41178,0,0,1700572127
1,49.5875,5.70414,0,0,1700572127
1,49.9897,5.70414,0,0,1700572127
1,54.7715,10.8675,0,0,1700572127
1,56.1819,8.98533,0,0,1700572127
1,52.4455,11.1605,0,0,1700572127
1,48.7964,5.70414,0,0,1700572127
1,48.443,5.70414,0,0,1700572127
1,50.3671,14.0558,0,0,1700572127
1,51.2349,7.98196,0,0,1700572127
1,50.7913,5.01882,0,0,1700572127
1,53.0502,8.77042,0,0,1700572127
1,55.8113,12.8896,0,0,1700572127
1,54.8253,12.6448,0,0,1700572127
1,51.2529,10.8792,0,0,1700572127
1,47.6931,11.4565,0,0,1700572127
1,47.612,13.2426,0,0,1700572127
1,47.8931,12.5923,0,0,1700572127
1,45.5585,11.9023,0,0,1700572127
1,48.6505,12.2584,0,0,1700572127
1,58.0549,10.5558,0,0,1700572127
1,65.1315,9.445,0,0,1700572127
