[178.68],['1700569511']
[178.67],['1700569512']
[178.53],['1700569512']
[178.58],['1700569512']
[178.52],['1700569512']
[178.61],['1700569512']
[178.75],['1700569512']
[178.7],['1700569512']
[178.5],['1700569512']
[178.47],['1700569512']
[178.32],['1700569512']
[178.35],['1700569512']
[178.37],['1700569512']
[178.33],['1700569512']
[178.27],['1700569512']
[178.29],['1700569512']
[178.25],['1700569513']
[178.26],['1700569513']
[178.12],['1700569513']
[177.95],['1700569513']
[177.51],['1700569513']
[176.36],['1700569513']
[174.37],['1700569513']
[171.17],['1700569513']
[167.96],['1700569513']
[165.01],['1700569513']
[162.13],['1700569513']
[158.67],['1700569513']
[155.88],['1700569513']
[152.62],['1700569513']
[148.32],['1700569513']
[144.75],['1700569514']
[140.96],['1700569514']
[135.91],['1700569514']
[129.97],['1700569514']
[127.11],['1700569514']
[122.43],['1700569514']
[117.37],['1700569514']
[106.17],['1700569514']
[98.07],['1700569514']
[92.43],['1700569514']
[90.51],['1700569514']
[92.41],['1700569514']
[92.3],['1700569514']
[90.84],['1700569514']
[90.08],['1700569514']
[90.04],['1700569515']
[90.3],['1700569515']
[90.2],['1700569515']
[89.71],['1700569515']
[89.16],['1700569515']
[89.7],['1700569515']
[89.69],['1700569515']
[90.15],['1700569515']
[90.22],['1700569515']
[90.47],['1700569515']
[90.45],['1700569515']
[90.22],['1700569515']
[90.28],['1700569515']
[90.72],['1700569515']
[90.89],['1700569515']
[90.91],['1700569516']
[91.21],['1700569516']
[91.69],['1700569516']
[90.96],['1700569516']
[91.37],['1700569516']
[91.66],['1700569516']
[91.65],['1700569516']
[91.68],['1700569516']
[91.95],['1700569516']
[92.17],['1700569516']
[92.38],['1700569516']
[92.21],['1700569516']
[91.91],['1700569516']
[91.51],['1700569516']
[91.83],['1700569516']
[91.62],['1700569517']
[91.84],['1700569517']
[91.82],['1700569517']
[91.67],['1700569517']
[91.97],['1700569517']
[92.1],['1700569517']
[92.71],['1700569517']
[93.21],['1700569517']
[93.94],['1700569517']
[95.63],['1700569517']
[97.36],['1700569517']
[99.05],['1700569517']
[100.83],['1700569517']
[115.42],['1700569517']
[122.66],['1700569518']
[126.83],['1700569518']
[129.02],['1700569518']
[132.31],['1700569518']
[141.26],['1700569518']
[146.36],['1700569518']
[148.75],['1700569518']
[152.1],['1700569518']
[155.85],['1700569518']
[157.73],['1700569518']
[160.59],['1700569518']
[164.51],['1700569519']
[170.07],['1700569519']
[170.56],['1700569519']
[171.64],['1700569519']
[172.13],['1700569519']
[173.3],['1700569519']
[173.75],['1700569519']
[173.86],['1700569519']
[174.58],['1700569519']
[174.42],['1700569519']
[174.45],['1700569519']
[175.02],['1700569519']
[174.74],['1700569519']
[174.64],['1700569519']
[174.55],['1700569520']
[174.52],['1700569520']
[174.59],['1700569520']
[174.67],['1700569520']
[174.64],['1700569520']
[174.62],['1700569520']
[174.65],['1700569520']
[174.66],['1700569520']
[174.64],['1700569520']
[174.65],['1700569520']
[174.69],['1700569520']
[174.69],['1700569520']
[174.75],['1700569520']
[174.81],['1700569520']
[174.91],['1700569520']
[174.92],['1700569521']
[174.83],['1700569521']
[174.84],['1700569521']
[174.85],['1700569521']
