Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,41.2203,6.15166,0,0,1700572322
1,55.824,16.9665,0,0,1700572322
1,72.258,10.9989,0,0,1700572322
1,87.6737,29.7974,0,0,1700572322
1,55.7816,8.48069,0,0,1700572322
1,64.2273,14.9813,0,0,1700572322
1,73.0872,6.11753,0,0,1700572322
1,68.2853,3.70882,0,0,1700572322
1,77.6498,13.2675,0,0,1700572322
1,63.0002,0.304235,0,0,1700572322
1,96.1474,6.3147,0,0,1700572322
1,55.6053,11.0222,0,0,1700572322
1,63.2374,12.5367,0,0,1700572322
1,79.843,15.3022,0,0,1700572322
1,76.7678,10.0425,0,0,1700572322
1,78.9667,8.44715,0,0,1700572322
1,66.7124,1.15919,0,0,1700572322
1,66.8518,8.86463,0,0,1700572322
1,85.9191,5.57811,0,0,1700572322
1,73.5977,5.96551,0,0,1700572322
1,63.9018,19.951,0,0,1700572322
1,72.8427,2.73172,0,0,1700572322
1,71.5313,5.63632,0,0,1700572322
1,76.6491,13.2549,0,0,1700572322
1,73.4402,22.9367,0,0,1700572322
1,54.5783,9.75427,0,0,1700572322
1,91.8556,36.8893,0,0,1700572322
1,59.7282,5.04552,0,0,1700572322
1,49.4191,7.14692,0,0,1700572322
1,68.2186,17.3818,0,0,1700572322
1,88.4489,3.06312,0,0,1700572322
1,76.5408,9.89297,0,0,1700572322
1,66.972,8.6379,0,0,1700572322
1,73.4689,17.8282,0,0,1700572322
1,82.4671,16.1654,0,0,1700572322
1,93.2101,0.0845565,0,0,1700572322
1,61.0079,5.55288,0,0,1700572322
1,76.4508,2.93283,0,0,1700572322
1,73.4358,0.643202,0,0,1700572322
1,82.0138,5.93496,0,0,1700572322
1,73.4108,12.4731,0,0,1700572322
1,79.9775,7.5182,0,0,1700572322
1,61.5951,11.8524,0,0,1700572322
1,82.4816,6.32717,0,0,1700572322
1,55.8117,15.1056,0,0,1700572322
1,70.4391,11.9395,0,0,1700572322
1,68.09,14.6263,0,0,1700572322
1,76.2465,10.7145,0,0,1700572322
1,62.9861,17.8003,0,0,1700572322
1,72.9399,29.1502,0,0,1700572322
1,81.618,5.75658,0,0,1700572322
1,66.4819,26.9125,0,0,1700572322
1,68.1331,16.071,0,0,1700572322
1,74.6525,12.1077,0,0,1700572322
1,81.6435,16.5193,0,0,1700572322
1,63.5368,0.379507,0,0,1700572322
1,76.4103,4.87752,0,0,1700572322
1,66.1704,8.03721,0,0,1700572322
1,49.553,19.8719,0,0,1700572322
1,74.5328,16.9233,0,0,1700572322
1,59.2516,14.1193,0,0,1700572322
1,79.5937,12.6606,0,0,1700572322
1,82.9503,8.18647,0,0,1700572322
1,57.4887,1.91463,0,0,1700572322
1,50.9034,10.9384,0,0,1700572322
1,65.1048,9.57711,0,0,1700572322
1,57.1768,21.4817,0,0,1700572322
1,53.7089,0.272681,0,0,1700572322
1,88.645,2.16471,0,0,1700572322
1,83.7304,8.48226,0,0,1700572322
1,51.879,6.52363,0,0,1700572322
1,83.5647,2.2899,0,0,1700572322
1,59.1351,13.3448,0,0,1700572322
1,93.1316,4.82025,0,0,1700572322
1,81.5023,4.99767,0,0,1700572322
1,84.8952,8.18958,0,0,1700572322
1,80.5882,0.429178,0,0,1700572322
1,78.3033,7.01279,0,0,1700572322
1,56.6133,0.224284,0,0,1700572322
1,72.0634,16.6121,0,0,1700572322
1,57.2742,18.5789,0,0,1700572322
1,58.2557,23.659,0,0,1700572322
1,59.4644,11.0037,0,0,1700572322
1,69.1415,1.08695,0,0,1700572322
1,89.5024,1.95769,0,0,1700572322
1,71.324,3.90612,0,0,1700572322
1,64.1706,7.8486,0,0,1700572322
1,71.788,8.37363,0,0,1700572322
1,78.6145,8.30001,0,0,1700572322
1,74.4948,16.8382,0,0,1700572322
1,51.4407,32.6992,0,0,1700572322
1,63.9019,0.986883,0,0,1700572322
1,86.5747,12.2101,0,0,1700572322
1,62.9216,2.44665,0,0,1700572322
1,77.5691,8.93603,0,0,1700572322
1,56.7369,0.979982,0,0,1700572322
1,55.5003,0.607332,0,0,1700572322
1,67.8435,10.0851,0,0,1700572322
1,111.902,4.12909,0,0,1700572322
1,96.6565,12.0813,0,0,1700572322
1,101.76,22.2699,0,0,1700572322
1,69.0247,4.33618,0,0,1700572322
1,89.9999,3.83298,0,0,1700572322
1,83.2952,8.92774,0,0,1700572322
1,91.5385,9.46583,0,0,1700572322
1,64.2371,17.3211,0,0,1700572322
1,63.9915,13.5455,0,0,1700572322
1,62.905,7.3897,0,0,1700572322
1,94.5198,20.6825,0,0,1700572322
1,75.6017,5.46304,0,0,1700572322
1,84.2675,2.00273,0,0,1700572322
1,68.4619,12.9423,0,0,1700572322
1,37.1641,7.61453,0,0,1700572322
1,65.8435,7.72505,0,0,1700572322
1,69.2314,6.23921,0,0,1700572322
1,60.1021,6.78371,0,0,1700572322
1,73.6146,22.5255,0,0,1700572322
1,80.66,17.1491,0,0,1700572322
1,78.1185,17.1666,0,0,1700572322
1,71.4925,12.4927,0,0,1700572322
1,60.4413,9.812,0,0,1700572322
1,71.2645,2.62277,0,0,1700572322
1,59.29,11.8063,0,0,1700572322
1,67.4847,17.5922,0,0,1700572322
1,54.4227,3.31499,0,0,1700572322
1,57.3634,1.43584,0,0,1700572322
1,67.8844,0.911052,0,0,1700572322
1,70.239,7.72049,0,0,1700572322
1,75.8678,18.2864,0,0,1700572322
1,88.0907,1.50666,0,0,1700572322
1,68.8795,11.3218,0,0,1700572322
1,65.4473,20.1709,0,0,1700572322
1,70.7637,11.7227,0,0,1700572322
1,72.4613,17.0911,0,0,1700572322
1,58.731,16.0532,0,0,1700572322
1,50.1253,11.9463,0,0,1700572322
1,64.4897,33.6778,0,0,1700572322
1,58.6473,12.9207,0,0,1700572322
1,65.1805,3.47275,0,0,1700572322
1,63.7619,16.0019,0,0,1700572322
1,63.204,6.29004,0,0,1700572322
1,65.3775,15.5872,0,0,1700572322
1,62.5997,12.6875,0,0,1700572322
1,81.1554,3.68078,0,0,1700572322
1,63.5942,6.35144,0,0,1700572322
1,83.6835,25.9976,0,0,1700572322
1,66.6108,0.728542,0,0,1700572322
1,72.1793,24.4874,0,0,1700572322
1,50.8495,37.7548,0,0,1700572322
1,77.8722,1.84413,0,0,1700572322
1,63.8632,19.3848,0,0,1700572322
1,58.9836,5.29005,0,0,1700572322
1,87.7751,5.72531,0,0,1700572322
1,80.1603,2.50259,0,0,1700572322
1,57.5892,19.6763,0,0,1700572322
1,85.0212,3.72991,0,0,1700572322
1,76.4472,20.2269,0,0,1700572322
1,84.8953,4.57092,0,0,1700572322
1,58.7449,14.2638,0,0,1700572322
1,81.7331,12.7095,0,0,1700572322
1,63.724,18.5215,0,0,1700572322
1,75.229,15.5205,0,0,1700572322
1,56.1487,1.5383,0,0,1700572322
1,54.3683,8.49084,0,0,1700572322
1,86.279,28.1871,0,0,1700572322
1,76.4284,24.9844,0,0,1700572322
1,76.5854,2.43503,0,0,1700572322
1,66.7271,1.07793,0,0,1700572322
1,59.9378,13.8845,0,0,1700572322
1,65.9118,3.03949,0,0,1700572322
1,70.158,3.22294,0,0,1700572322
1,46.2774,16.0923,0,0,1700572322
1,59.1787,16.823,0,0,1700572322
1,69.7364,3.15624,0,0,1700572322
1,65.7262,4.12021,0,0,1700572322
1,67.1911,10.558,0,0,1700572322
1,64.7767,13.4898,0,0,1700572322
1,54.7221,14.8548,0,0,1700572322
1,57.9416,7.18747,0,0,1700572322
1,61.9083,31.454,0,0,1700572322
1,63.0432,17.6404,0,0,1700572322
1,70.1976,0.359717,0,0,1700572322
1,67.2654,8.71102,0,0,1700572322
1,71.7431,9.94337,0,0,1700572322
1,78.3767,28.2249,0,0,1700572322
1,61.6977,11.2294,0,0,1700572322
1,50.4456,16.805,0,0,1700572322
1,89.8751,5.57697,0,0,1700572322
1,67.7243,23.5125,0,0,1700572322
1,86.1763,16.9442,0,0,1700572322
1,58.3917,12.6741,0,0,1700572322
1,54.3429,4.10566,0,0,1700572322
1,70.0341,9.6969,0,0,1700572322
1,95.9131,15.9252,0,0,1700572322
1,76.1714,12.8949,0,0,1700572322
1,62.3327,7.50465,0,0,1700572322
1,60.3144,11.2318,0,0,1700572322
1,58.0132,3.84369,0,0,1700572322
1,76.2944,6.42848,0,0,1700572322
1,59.2656,15.8761,0,0,1700572322
1,73.5867,14.85,0,0,1700572322
1,79.2673,6.4035,0,0,1700572322
