Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,60.2691,5.7313,0,0,1700576728
1,37.3351,5.7313,0,0,1700576728
1,57.307,13.0582,0,0,1700576728
1,64.078,7.69443,0,0,1700576728
1,62.3807,7.08517,0,0,1700576728
1,55.8289,5.55579,0,0,1700576728
1,47.582,4.8095,0,0,1700576728
1,45.6891,5.80241,0,0,1700576728
1,50.5653,6.78568,0,0,1700576728
1,55.0043,8.11486,0,0,1700576728
1,54.807,11.2398,0,0,1700576728
1,51.341,12.5,0,0,1700576728
1,46.3727,9.59921,0,0,1700576728
1,41.6685,6.25966,0,0,1700576728
1,41.8595,4.61286,0,0,1700576728
1,48.4116,4.1147,0,0,1700576728
1,53.548,4.30325,0,0,1700576728
1,52.2838,4.08555,0,0,1700576728
1,51.6979,3.35581,0,0,1700576728
1,56.2267,3.32094,0,0,1700576728
1,59.3481,5.17968,0,0,1700576728
1,57.3334,8.72824,0,0,1700576728
1,52.057,10.044,0,0,1700576728
1,45.4047,6.68685,0,0,1700576728
1,44.3453,3.90097,0,0,1700576728
1,51.0363,5.88979,0,0,1700576728
1,55.0107,8.06546,0,0,1700576728
1,53.8496,7.36693,0,0,1700576728
1,57.3039,7.34753,0,0,1700576728
1,64.1534,7.76164,0,0,1700576728
1,61.6941,5.68713,0,0,1700576728
1,50.8419,4.42785,0,0,1700576728
1,44.6312,6.01118,0,0,1700576728
1,46.9551,6.43895,0,0,1700576728
1,54.5233,6.01919,0,0,1700576728
1,61.611,7.87912,0,0,1700576728
1,60.3121,8.92385,0,0,1700576728
1,52.2011,7.20614,0,0,1700576728
1,47.4133,6.0818,0,0,1700576728
1,49.4804,5.76969,0,0,1700576728
1,54.914,5.18819,0,0,1700576728
1,58.9194,5.57353,0,0,1700576728
1,59.3163,6.93293,0,0,1700576728
1,58.544,7.70604,0,0,1700576728
1,56.9282,6.13464,0,0,1700576728
1,54.2107,4.0862,0,0,1700576728
1,52.6319,5.08626,0,0,1700576728
1,52.1471,7.78149,0,0,1700576728
1,52.0309,9.92226,0,0,1700576728
1,51.2783,10.0613,0,0,1700576728
1,49.1602,7.22383,0,0,1700576728
1,48.527,4.39557,0,0,1700576728
1,49.8966,4.64695,0,0,1700576728
1,51.9722,6.01841,0,0,1700576728
1,54.589,5.19099,0,0,1700576728
1,55.1614,3.38331,0,0,1700576728
1,55.0457,2.72044,0,0,1700576728
1,56.9792,2.8009,0,0,1700576728
1,56.743,4.72634,0,0,1700576728
1,54.1683,8.25241,0,0,1700576728
1,53.2204,9.94013,0,0,1700576728
1,53.314,9.86937,0,0,1700576728
1,51.4085,9.18226,0,0,1700576728
1,46.1082,7.19908,0,0,1700576728
1,43.9136,7.65106,0,0,1700576728
1,47.3007,10.6873,0,0,1700576728
1,47.9046,8.86496,0,0,1700576728
1,47.0417,4.64755,0,0,1700576728
1,52.9405,4.79,0,0,1700576728
1,61.936,5.69702,0,0,1700576728
1,64.3366,5.88029,0,0,1700576728
1,58.7999,7.19486,0,0,1700576728
1,52.3357,6.61051,0,0,1700576728
1,50.1584,4.3885,0,0,1700576728
1,52.5524,3.5452,0,0,1700576728
1,55.7392,3.41171,0,0,1700576728
1,54.8627,4.59335,0,0,1700576728
1,52.072,8.24447,0,0,1700576728
1,52.5139,10.4764,0,0,1700576728
1,52.192,10.0146,0,0,1700576728
1,46.8266,9.76036,0,0,1700576728
1,45.3394,9.1946,0,0,1700576728
1,50.695,8.62746,0,0,1700576728
1,52.3542,9.39595,0,0,1700576728
1,50.4379,9.63969,0,0,1700576728
1,52.6837,8.89747,0,0,1700576728
1,55.3366,8.46673,0,0,1700576728
1,51.6199,8.663,0,0,1700576728
1,46.0924,8.72283,0,0,1700576728
1,46.7762,7.95644,0,0,1700576728
1,51.1173,7.77719,0,0,1700576728
1,52.6583,9.10929,0,0,1700576728
1,52.0163,9.18257,0,0,1700576728
1,51.2047,6.35544,0,0,1700576728
1,50.2296,3.67965,0,0,1700576728
1,49.5655,3.10109,0,0,1700576728
1,47.7945,3.32846,0,0,1700576728
1,46.1128,3.63407,0,0,1700576728
1,48.5119,4.68871,0,0,1700576728
1,52.4326,5.6892,0,0,1700576728
1,53.4092,4.50584,0,0,1700576728
1,51.0362,2.54629,0,0,1700576728
1,49.7066,2.78946,0,0,1700576728
1,53.9536,4.24057,0,0,1700576728
1,57.5984,5.3978,0,0,1700576728
1,54.6947,5.73382,0,0,1700576728
1,50.639,6.53261,0,0,1700576728
1,50.8526,10.4514,0,0,1700576728
1,53.3729,5.7313,0,0,1700576728
1,51.4981,11.4523,0,0,1700576728
1,46.3326,6.48411,0,0,1700576728
1,46.593,2.89311,0,0,1700576728
1,49.0756,2.07658,0,0,1700576728
1,48.1499,3.5061,0,0,1700576728
1,48.6393,5.18451,0,0,1700576728
1,50.8405,6.29298,0,0,1700576728
1,52.1103,7.45482,0,0,1700576728
1,52.648,8.83341,0,0,1700576728
1,51.8903,9.8632,0,0,1700576728
1,52.9544,10.0171,0,0,1700576728
1,55.5874,8.92186,0,0,1700576728
1,55.7884,7.14451,0,0,1700576728
1,55.7296,6.2458,0,0,1700576728
1,56.3679,7.46309,0,0,1700576728
1,54.3781,8.87443,0,0,1700576728
1,51.2342,7.08927,0,0,1700576728
1,49.724,4.13296,0,0,1700576728
1,48.4899,3.68781,0,0,1700576728
1,48.6734,4.57884,0,0,1700576728
1,50.6417,4.76932,0,0,1700576728
1,50.5086,4.4007,0,0,1700576728
1,50.0922,5.38617,0,0,1700576728
1,52.155,7.11952,0,0,1700576728
1,53.8338,5.74032,0,0,1700576728
1,53.7695,2.3749,0,0,1700576728
1,52.8332,2.81254,0,0,1700576728
1,51.3233,7.20011,0,0,1700576728
1,49.626,9.85249,0,0,1700576729
1,50.6098,8.48172,0,0,1700576729
1,54.4633,7.91372,0,0,1700576729
1,54.1037,10.3995,0,0,1700576729
1,49.4278,10.6828,0,0,1700576729
1,47.9998,7.46422,0,0,1700576729
1,51.0475,5.46942,0,0,1700576729
1,54.7436,5.63894,0,0,1700576729
1,56.1069,5.58199,0,0,1700576729
1,57.2436,6.03291,0,0,1700576729
1,59.4195,8.29411,0,0,1700576729
1,59.199,9.11729,0,0,1700576729
1,56.3581,8.27755,0,0,1700576729
1,53.0125,9.59718,0,0,1700576729
1,49.6342,12.1957,0,0,1700576729
1,47.9033,13.225,0,0,1700576729
1,50.3582,11.5426,0,0,1700576729
1,51.798,8.29127,0,0,1700576729
1,47.9194,5.65781,0,0,1700576729
1,44.2608,5.0484,0,0,1700576729
1,41.833,6.95869,0,0,1700576729
1,41.1054,9.08062,0,0,1700576729
1,43.9109,9.09767,0,0,1700576729
1,45.7584,8.29775,0,0,1700576729
1,48.0221,8.68418,0,0,1700576729
1,51.6494,8.57301,0,0,1700576729
1,49.898,5.52348,0,0,1700576729
1,45.382,2.35601,0,0,1700576729
1,45.463,2.14673,0,0,1700576729
1,47.2816,3.41196,0,0,1700576729
1,49.3564,6.19918,0,0,1700576729
1,53.4172,11.0034,0,0,1700576729
