Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,67.3547,4.80744,0,0,1700567013
1,67.3547,4.80744,0,0,1700567013
1,63.778,10.2835,0,0,1700567013
1,71.5552,3.61333,0,0,1700567014
1,71.5552,3.26776,0,0,1700567014
1,71.0769,3.55173,0,0,1700567014
1,68.7317,5.30639,0,0,1700567014
1,65.8443,5.48658,0,0,1700567014
1,66.5607,3.94586,0,0,1700567014
1,69.0384,4.55911,0,0,1700567014
1,68.8687,6.34227,0,0,1700567014
1,68.665,6.39028,0,0,1700567014
1,68.0803,5.2994,0,0,1700567014
1,65.6853,4.43228,0,0,1700567014
1,66.6317,3.47238,0,0,1700567014
1,68.3478,2.4221,0,0,1700567014
1,65.73,2.99432,0,0,1700567014
1,64.361,5.07974,0,0,1700567014
1,67.901,5.73515,0,0,1700567014
1,73.1473,4.00411,0,0,1700567014
1,76.4447,2.76686,0,0,1700567014
1,75.3467,3.13791,0,0,1700567014
1,73.3834,3.89124,0,0,1700567014
1,74.8888,5.41825,0,0,1700567014
1,75.5374,6.97736,0,0,1700567014
1,72.325,6.39574,0,0,1700567014
1,69.2542,6.15158,0,0,1700567014
1,66.3079,9.21261,0,0,1700567014
1,62.1195,4.80744,0,0,1700567014
1,60.7581,4.80744,0,0,1700567014
1,63.4722,9.40491,0,0,1700567014
1,66.8317,6.29146,0,0,1700567014
1,67.7563,5.33181,0,0,1700567014
1,66.7867,6.46862,0,0,1700567014
1,68.2248,6.14497,0,0,1700567014
1,69.8472,6.31169,0,0,1700567014
1,68.4141,7.62716,0,0,1700567014
1,68.1843,7.18604,0,0,1700567014
1,69.8057,7.26772,0,0,1700567014
1,71.0253,8.36085,0,0,1700567014
1,72.4329,6.37423,0,0,1700567014
1,74.4677,4.70724,0,0,1700567014
1,76.1537,6.93194,0,0,1700567014
1,76.1742,7.22487,0,0,1700567014
1,74.8233,4.0152,0,0,1700567014
1,73.7794,2.60664,0,0,1700567014
1,74.4683,3.81878,0,0,1700567014
1,76.5708,5.90041,0,0,1700567014
1,76.1598,7.73485,0,0,1700567014
1,71.326,7.90141,0,0,1700567014
1,66.1363,7.34216,0,0,1700567014
1,62.8563,7.66865,0,0,1700567014
1,62.1077,7.16406,0,0,1700567014
1,64.1054,4.44441,0,0,1700567014
1,65.8286,2.14112,0,0,1700567014
1,67.0907,1.74081,0,0,1700567014
1,69.0055,1.62836,0,0,1700567014
1,69.326,1.45513,0,0,1700567014
1,68.1702,2.17954,0,0,1700567014
1,68.9757,3.81872,0,0,1700567014
1,71.2341,4.82397,0,0,1700567014
1,70.3283,3.81896,0,0,1700567014
1,67.3211,2.67032,0,0,1700567014
1,66.481,3.16184,0,0,1700567014
1,68.7942,3.54267,0,0,1700567014
1,73.4442,2.45655,0,0,1700567014
1,74.9756,1.24505,0,0,1700567014
1,71.4537,1.25149,0,0,1700567014
1,69.3372,3.25665,0,0,1700567014
1,69.2827,7.06787,0,0,1700567014
1,68.907,9.03454,0,0,1700567014
1,69.6886,7.21331,0,0,1700567014
1,69.3429,5.80537,0,0,1700567014
1,67.8505,6.9942,0,0,1700567014
1,70.8828,8.58371,0,0,1700567014
1,76.9435,8.5292,0,0,1700567014
1,79.0648,6.33303,0,0,1700567014
1,77.2706,4.25937,0,0,1700567014
1,75.8825,3.94572,0,0,1700567014
1,74.9897,4.91969,0,0,1700567014
1,71.5066,5.93945,0,0,1700567014
1,66.2086,4.96573,0,0,1700567014
1,64.6868,3.36883,0,0,1700567014
1,67.9959,3.3927,0,0,1700567014
1,72.9016,4.30049,0,0,1700567014
1,75.7509,5.19871,0,0,1700567014
1,71.8844,4.84604,0,0,1700567014
1,64.486,4.24874,0,0,1700567014
1,61.0755,6.06303,0,0,1700567014
1,62.7345,7.89062,0,0,1700567014
1,67.1188,7.15587,0,0,1700567014
1,69.2679,5.88784,0,0,1700567014
1,68.7123,4.69014,0,0,1700567014
1,71.1472,3.44238,0,0,1700567014
1,74.4422,3.15991,0,0,1700567014
1,73.5941,3.21118,0,0,1700567014
1,70.5618,3.12525,0,0,1700567014
1,67.6631,3.48617,0,0,1700567014
1,65.8671,4.54134,0,0,1700567014
1,66.0517,6.13928,0,0,1700567014
1,67.916,7.58542,0,0,1700567014
1,71.2889,7.77267,0,0,1700567014
1,73.6573,5.8246,0,0,1700567014
1,73.8692,3.07118,0,0,1700567014
1,73.401,1.84446,0,0,1700567014
1,71.7216,2.57282,0,0,1700567014
1,69.7167,4.08884,0,0,1700567014
1,69.1226,4.39321,0,0,1700567014
1,70.1651,3.45766,0,0,1700567014
1,69.215,3.36897,0,0,1700567014
1,63.363,3.7271,0,0,1700567014
1,61.8326,3.67311,0,0,1700567014
1,66.8728,3.92154,0,0,1700567014
1,67.3548,3.96665,0,0,1700567014
1,65.6332,3.27273,0,0,1700567014
1,67.7516,3.0084,0,0,1700567014
1,68.3786,3.57961,0,0,1700567014
1,66.3874,3.83224,0,0,1700567014
1,66.9694,4.45073,0,0,1700567014
1,71.1012,6.18369,0,0,1700567014
1,73.9838,8.03252,0,0,1700567014
