Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,66.8339,5.11021,0,0,1700567404
1,66.8339,5.11021,0,0,1700567404
1,64.5881,5.11021,0,0,1700567404
1,65.5477,4.50719,0,0,1700567404
1,65.9889,4.45962,0,0,1700567404
1,65.7928,4.71714,0,0,1700567404
1,65.2665,4.84902,0,0,1700567404
1,64.9392,4.8523,0,0,1700567404
1,64.8258,4.93857,0,0,1700567404
1,64.7242,5.05179,0,0,1700567404
1,64.6187,4.98055,0,0,1700567404
1,64.5349,4.77814,0,0,1700567404
1,64.3409,4.63482,0,0,1700567404
1,64.0285,4.53201,0,0,1700567404
1,63.8564,4.42815,0,0,1700567404
1,63.7992,4.37545,0,0,1700567404
1,63.669,4.33836,0,0,1700567404
1,63.5658,4.30992,0,0,1700567404
1,63.538,4.33755,0,0,1700567404
1,63.5875,4.34632,0,0,1700567404
1,63.7818,4.26654,0,0,1700567404
1,64.0248,4.19115,0,0,1700567404
1,64.2757,4.19934,0,0,1700567404
1,64.5682,4.26146,0,0,1700567404
1,64.7449,4.37598,0,0,1700567404
1,64.7279,4.50345,0,0,1700567404
1,64.6427,4.54658,0,0,1700567404
1,64.5757,4.52473,0,0,1700567404
1,64.5558,4.49968,0,0,1700567404
1,64.6234,4.4688,0,0,1700567404
1,64.7761,4.4299,0,0,1700567404
1,64.9387,4.3879,0,0,1700567404
1,65.0199,4.33316,0,0,1700567404
1,64.9862,4.28091,0,0,1700567404
1,64.9454,4.29548,0,0,1700567404
1,64.99,4.37712,0,0,1700567404
1,65.0169,4.43549,0,0,1700567404
1,64.9209,4.4616,0,0,1700567404
1,64.7397,4.53831,0,0,1700567404
1,64.5693,4.68305,0,0,1700567404
1,64.4563,4.8062,0,0,1700567404
1,64.3739,4.82922,0,0,1700567404
1,64.316,4.78228,0,0,1700567404
1,64.2848,4.72488,0,0,1700567404
1,64.2795,4.67391,0,0,1700567404
1,64.3098,4.63939,0,0,1700567404
1,64.3197,4.6324,0,0,1700567404
1,64.2905,4.65725,0,0,1700567404
1,64.2826,4.70261,0,0,1700567404
1,64.2967,4.73618,0,0,1700567404
1,64.315,4.7346,0,0,1700567404
1,64.3211,4.71361,0,0,1700567404
1,64.2645,4.70593,0,0,1700567404
1,64.152,4.70641,0,0,1700567404
1,64.0368,4.69867,0,0,1700567404
1,63.9161,4.70096,0,0,1700567404
1,63.7726,4.73568,0,0,1700567404
1,63.6941,4.7899,0,0,1700567404
1,63.7909,4.82565,0,0,1700567404
1,63.9883,4.84384,0,0,1700567404
1,64.1105,4.86649,0,0,1700567404
1,64.1304,4.88426,0,0,1700567404
1,64.1419,4.89732,0,0,1700567404
1,64.1818,4.90796,0,0,1700567404
1,64.2324,4.91301,0,0,1700567404
1,64.2787,4.93352,0,0,1700567404
1,64.3026,4.96133,0,0,1700567404
1,64.3079,4.98823,0,0,1700567404
1,64.3122,5.04978,0,0,1700567404
1,64.3049,5.12014,0,0,1700567404
1,64.2705,5.14522,0,0,1700567404
1,64.195,5.16238,0,0,1700567404
1,64.1038,5.22204,0,0,1700567404
1,64.0709,5.29182,0,0,1700567404
1,64.1032,5.31735,0,0,1700567404
1,64.1302,5.30753,0,0,1700567404
1,64.1079,5.30853,0,0,1700567404
1,64.0612,5.33662,0,0,1700567404
