Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,75.6701,5.52314,0,0,1700573913
1,75.6701,0.902318,0,0,1700573913
1,67.8986,2.59296,0,0,1700573913
1,68.5812,15.1523,0,0,1700573913
1,82.6009,13.36,0,0,1700573913
1,59.6955,0.0162602,0,0,1700573913
1,66.3129,7.28176,0,0,1700573913
1,64.9515,3.01929,0,0,1700573913
1,72.8046,22.5002,0,0,1700573913
1,47.6817,3.39024,0,0,1700573913
1,66.519,7.01633,0,0,1700573913
1,77.8708,8.13917,0,0,1700573913
1,48.4985,1.04534,0,0,1700573913
1,58.181,2.25334,0,0,1700573913
1,90.9857,21.8271,0,0,1700573913
1,84.4388,19.218,0,0,1700573913
1,75.4421,3.35362,0,0,1700573913
1,69.001,7.54519,0,0,1700573913
1,66.0936,10.361,0,0,1700573913
1,108.999,3.87478,0,0,1700573913
1,63.7602,7.8038,0,0,1700573913
1,58.105,31.7861,0,0,1700573913
1,64.2983,5.4093,0,0,1700573913
1,78.3393,2.133,0,0,1700573913
1,60.6118,7.01812,0,0,1700573913
1,70.2607,5.33137,0,0,1700573913
1,71.9644,13.4215,0,0,1700573913
1,58.6549,11.0219,0,0,1700573913
1,69.0403,11.3108,0,0,1700573913
1,48.8598,2.64542,0,0,1700573913
1,60.7775,1.99519,0,0,1700573913
1,83.3434,2.21064,0,0,1700573913
1,76.9866,19.9158,0,0,1700573913
1,56.7397,10.3545,0,0,1700573913
1,72.6876,3.17089,0,0,1700573913
1,75.6953,5.73238,0,0,1700573913
1,80.075,8.8772,0,0,1700573913
1,70.588,13.3848,0,0,1700573913
1,75.129,7.46707,0,0,1700573913
1,101.906,1.88272,0,0,1700573913
1,86.1371,0.914305,0,0,1700573913
1,94.1995,7.47449,0,0,1700573913
1,51.9978,8.56533,0,0,1700573913
1,86.0128,7.59637,0,0,1700573913
1,48.3449,5.4137,0,0,1700573913
1,93.2559,10.3028,0,0,1700573913
1,50.011,14.8744,0,0,1700573913
1,66.6984,11.8193,0,0,1700573913
1,70.3984,8.00449,0,0,1700573913
1,59.5359,4.29469,0,0,1700573913
1,86.0181,19.6031,0,0,1700573913
1,79.5216,1.76623,0,0,1700573913
1,82.8691,6.10912,0,0,1700573913
1,58.6773,12.7857,0,0,1700573913
1,63.4905,4.05133,0,0,1700573913
1,57.7349,6.80854,0,0,1700573913
1,94.8473,13.2706,0,0,1700573913
1,64.5616,0.639172,0,0,1700573913
1,69.4774,7.60613,0,0,1700573913
1,80.7633,0.661507,0,0,1700573913
1,71.7174,19.0199,0,0,1700573913
1,74.1638,12.1167,0,0,1700573913
1,46.0857,8.63516,0,0,1700573913
1,62.3014,6.4388,0,0,1700573913
1,70.5485,16.5649,0,0,1700573913
1,53.0043,7.86825,0,0,1700573913
1,74.5971,29.8168,0,0,1700573913
1,84.6621,10.7022,0,0,1700573913
1,84.6445,13.3747,0,0,1700573913
1,102.638,9.13345,0,0,1700573913
1,52.5669,1.20777,0,0,1700573913
1,84.361,15.8534,0,0,1700573913
1,82.1206,5.68278,0,0,1700573913
1,107.081,18.4555,0,0,1700573913
1,70.0534,18.0854,0,0,1700573913
1,50.5956,0.546841,0,0,1700573913
1,102.584,2.24701,0,0,1700573913
1,63.0478,15.5234,0,0,1700573913
1,79.5425,7.00566,0,0,1700573913
1,55.7092,1.84403,0,0,1700573913
1,82.5268,26.4979,0,0,1700573913
1,68.6288,15.7369,0,0,1700573913
1,82.9558,27.5996,0,0,1700573913
1,66.6921,3.66057,0,0,1700573913
1,70.8137,7.66718,0,0,1700573913
