[45.01],['1700574677']
[45.4],['1700574678']
[45.28],['1700574678']
[45.39],['1700574678']
[45.51],['1700574678']
[45.55],['1700574678']
[45.63],['1700574678']
[45.61],['1700574678']
[45.72],['1700574678']
[45.77],['1700574678']
[45.79],['1700574678']
[45.91],['1700574678']
[46.05],['1700574678']
[46.09],['1700574678']
[46.01],['1700574678']
[46.18],['1700574679']
[46.26],['1700574679']
[46.23],['1700574679']
[46.41],['1700574679']
[45.95],['1700574679']
[45.73],['1700574679']
[45.74],['1700574679']
[45.74],['1700574679']
[45.69],['1700574679']
[45.62],['1700574679']
[45.59],['1700574679']
[45.63],['1700574679']
[45.34],['1700574679']
[45.36],['1700574679']
[45.39],['1700574679']
[45.35],['1700574679']
[45.21],['1700574680']
[45.28],['1700574680']
[45.4],['1700574680']
[45.19],['1700574680']
[45.21],['1700574680']
[45.18],['1700574680']
[45.29],['1700574680']
[45.25],['1700574680']
[45.25],['1700574680']
[45.32],['1700574680']
[45.45],['1700574680']
[45.87],['1700574680']
[45.93],['1700574680']
[45.96],['1700574680']
[46.1],['1700574680']
[46.07],['1700574681']
[46.11],['1700574681']
[46.2],['1700574681']
[46.21],['1700574681']
[46.17],['1700574681']
[46.19],['1700574681']
[46.18],['1700574681']
[46.18],['1700574681']
[46.22],['1700574681']
[46.24],['1700574681']
[46.18],['1700574681']
[46.35],['1700574681']
[46.4],['1700574681']
[46.48],['1700574681']
[46.48],['1700574682']
[46.33],['1700574682']
[46.34],['1700574682']
[46.41],['1700574682']
[46.17],['1700574682']
[46.35],['1700574682']
[46.22],['1700574682']
[46.12],['1700574682']
[46.1],['1700574682']
[46.05],['1700574682']
[46.1],['1700574682']
[46.28],['1700574682']
[46.17],['1700574682']
[46.25],['1700574682']
[46.2],['1700574682']
[46.41],['1700574682']
[46.7],['1700574683']
[46.83],['1700574683']
[46.95],['1700574683']
[47.14],['1700574683']
[46.91],['1700574683']
[46.66],['1700574683']
[46.5],['1700574683']
[46.57],['1700574683']
[46.61],['1700574683']
[46.61],['1700574683']
[46.69],['1700574683']
[46.87],['1700574683']
[46.95],['1700574683']
[46.93],['1700574683']
[46.95],['1700574683']
[46.81],['1700574684']
[46.64],['1700574684']
[46.73],['1700574684']
[47.13],['1700574684']
[47.27],['1700574684']
[47.39],['1700574684']
[47.11],['1700574684']
[47.2],['1700574684']
[47.13],['1700574684']
[47.22],['1700574684']
[47.41],['1700574684']
[47.48],['1700574684']
[47.56],['1700574684']
[47.44],['1700574684']
[47.48],['1700574685']
[47.52],['1700574685']
