Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,67.8452,5.66162,0,0,1700574728
1,67.8452,5.66162,0,0,1700574728
1,63.534,10.1575,0,0,1700574728
1,70.9877,3.48385,0,0,1700574728
1,72.4913,3.5625,0,0,1700574728
1,72.1951,3.00829,0,0,1700574728
1,72.7294,4.60395,0,0,1700574728
1,74.6099,6.89537,0,0,1700574728
1,75.6229,7.29456,0,0,1700574728
1,75.3305,5.63635,0,0,1700574728
1,71.3834,3.66864,0,0,1700574728
1,64.4895,3.71515,0,0,1700574728
1,59.5441,5.89205,0,0,1700574728
1,58.7971,8.60495,0,0,1700574728
1,61.3497,9.991,0,0,1700574728
1,62.5186,8.75577,0,0,1700574728
1,60.7584,6.07905,0,0,1700574728
1,61.9321,5.14146,0,0,1700574728
1,66.8162,5.68938,0,0,1700574728
1,69.8108,4.8609,0,0,1700574728
1,68.2914,3.55119,0,0,1700574728
1,64.7712,4.22931,0,0,1700574728
1,63.8263,6.01502,0,0,1700574728
1,67.5825,5.88261,0,0,1700574728
1,70.2574,4.12198,0,0,1700574728
1,65.7013,4.11982,0,0,1700574728
1,65.2225,6.01915,0,0,1700574728
1,71.2558,7.1178,0,0,1700574728
1,66.9604,7.03168,0,0,1700574728
1,58.6133,7.26659,0,0,1700574728
1,59.4568,6.73259,0,0,1700574728
1,61.8958,4.27074,0,0,1700574728
1,61.3847,2.14332,0,0,1700574728
1,61.4337,1.86618,0,0,1700574728
1,64.0532,3.54235,0,0,1700574728
1,68.4693,6.22497,0,0,1700574728
1,70.5441,6.89684,0,0,1700574728
1,67.1772,4.98289,0,0,1700574728
1,61.2573,3.47913,0,0,1700574728
1,60.2719,4.48047,0,0,1700574728
1,65.2412,5.83663,0,0,1700574728
1,69.3608,5.19903,0,0,1700574728
1,71.6079,4.39534,0,0,1700574728
1,75.6729,3.91157,0,0,1700574728
1,77.093,2.88322,0,0,1700574728
1,72.5577,3.70983,0,0,1700574728
1,69.4526,6.83101,0,0,1700574728
1,72.2868,7.97306,0,0,1700574728
1,74.5984,5.74274,0,0,1700574728
1,71.4628,4.81657,0,0,1700574728
1,68.1692,6.67738,0,0,1700574728
1,67.314,7.49657,0,0,1700574728
1,66.071,6.65767,0,0,1700574728
1,66.4271,6.00063,0,0,1700574728
1,68.008,6.06175,0,0,1700574728
1,67.8327,6.64649,0,0,1700574728
1,69.0714,6.22651,0,0,1700574728
1,74.7894,4.32664,0,0,1700574728
1,84.0049,2.5778,0,0,1700574728
1,67.8452,3.17639,0,0,1700574728
1,67.8452,5.71467,0,0,1700574728
1,82.2069,5.48936,0,0,1700574728
1,73.9389,3.77065,0,0,1700574728
1,65.1996,4.84994,0,0,1700574728
1,57.7229,5.31943,0,0,1700574728
1,57.7088,3.65052,0,0,1700574728
1,60.3426,3.35333,0,0,1700574728
1,61.49,4.91798,0,0,1700574728
1,64.6075,6.4781,0,0,1700574728
1,64.6355,7.77557,0,0,1700574728
1,61.2033,8.46562,0,0,1700574728
1,63.4026,6.71788,0,0,1700574728
1,68.0435,4.70724,0,0,1700574728
1,68.2754,4.99927,0,0,1700574728
1,67.9226,5.01913,0,0,1700574728
1,70.6973,4.07138,0,0,1700574728
1,75.4037,3.5446,0,0,1700574728
1,81.0885,2.86322,0,0,1700574728
1,81.8747,2.21461,0,0,1700574728
1,74.2828,2.57581,0,0,1700574728
1,67.5376,4.20147,0,0,1700574728
1,65.3667,5.90079,0,0,1700574728
1,62.7575,5.94455,0,0,1700574728
1,61.418,5.40396,0,0,1700574728
1,63.1401,5.07817,0,0,1700574728
1,62.3801,5.40189,0,0,1700574728
1,58.4319,7.50709,0,0,1700574728
1,58.5984,7.86891,0,0,1700574728
1,64.4305,6.16666,0,0,1700574728
1,69.2328,6.37911,0,0,1700574728
1,69.3942,5.68015,0,0,1700574728
1,67.565,3.74555,0,0,1700574728
1,66.593,5.5886,0,0,1700574728
1,66.3187,8.97809,0,0,1700574728
1,64.1921,9.08485,0,0,1700574728
