Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,61.8273,5.83673,0,0,1700574852
1,61.8273,5.83673,0,0,1700574852
1,58.1997,6.76076,0,0,1700574852
1,58.0219,5.67999,0,0,1700574852
1,57.9152,5.03397,0,0,1700574852
1,57.787,4.55641,0,0,1700574852
1,57.7694,4.23482,0,0,1700574852
1,58.0591,4.14719,0,0,1700574852
1,58.6508,4.08368,0,0,1700574852
1,59.7595,3.93246,0,0,1700574852
1,61.1544,3.94813,0,0,1700574852
1,61.8428,4.23767,0,0,1700574852
1,61.8653,4.56703,0,0,1700574852
1,62.1369,4.72137,0,0,1700574852
1,62.6844,4.86149,0,0,1700574852
1,63.0002,5.27141,0,0,1700574852
1,62.9823,5.30466,0,0,1700574852
1,62.8359,5.57781,0,0,1700574852
1,62.7416,5.66128,0,0,1700574852
1,62.7895,5.78018,0,0,1700574852
1,62.9228,5.90558,0,0,1700574852
1,62.9412,5.94944,0,0,1700574852
1,62.806,5.92762,0,0,1700574852
1,62.7795,5.92731,0,0,1700574852
1,63.0478,6.03189,0,0,1700574852
1,63.3657,6.15809,0,0,1700574852
1,63.4301,6.20284,0,0,1700574852
1,63.2932,6.21982,0,0,1700574852
1,63.0896,6.20613,0,0,1700574852
1,62.9222,6.12481,0,0,1700574852
1,62.9664,6.06337,0,0,1700574852
1,63.2543,6.05858,0,0,1700574852
1,63.5315,6.08753,0,0,1700574852
1,63.593,6.2042,0,0,1700574852
1,63.5874,6.36592,0,0,1700574852
1,63.6624,6.40514,0,0,1700574852
1,63.7502,6.34006,0,0,1700574852
1,63.8802,6.31823,0,0,1700574852
1,64.0465,6.35928,0,0,1700574852
1,64.0407,6.42525,0,0,1700574852
1,63.8506,6.48847,0,0,1700574852
1,63.6789,6.5303,0,0,1700574852
1,63.5859,6.548,0,0,1700574852
1,63.5231,6.54744,0,0,1700574852
1,63.4963,6.55389,0,0,1700574852
1,63.4882,6.54026,0,0,1700574852
1,63.452,6.48031,0,0,1700574852
1,63.4298,6.42325,0,0,1700574852
1,63.4611,6.37354,0,0,1700574852
1,63.5156,6.31108,0,0,1700574852
1,63.5771,6.25638,0,0,1700574852
1,63.6199,6.22009,0,0,1700574852
1,63.6267,6.21217,0,0,1700574852
1,63.597,6.24735,0,0,1700574852
1,63.5073,6.30487,0,0,1700574852
1,63.3978,6.34405,0,0,1700574852
1,63.3258,6.37078,0,0,1700574852
1,63.2419,6.41004,0,0,1700574852
1,63.1232,6.4573,0,0,1700574852
1,63.0462,6.50838,0,0,1700574852
1,63.0088,6.53137,0,0,1700574852
1,62.9477,6.50401,0,0,1700574852
1,62.9071,6.46532,0,0,1700574852
1,62.9423,6.43017,0,0,1700574852
1,62.9655,6.40933,0,0,1700574852
1,62.8744,6.45066,0,0,1700574852
