Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,72.6472,4.87762,0,0,1700570274
1,72.6472,4.87762,0,0,1700570274
1,70.4641,4.87762,0,0,1700570274
1,72.0733,4.28493,0,0,1700570274
1,72.0283,4.24702,0,0,1700570274
1,71.3539,4.25045,0,0,1700570274
1,71.5023,3.93159,0,0,1700570274
1,72.3246,3.62569,0,0,1700570274
1,72.9315,3.64477,0,0,1700570274
1,72.9639,3.90048,0,0,1700570274
1,72.6429,4.07616,0,0,1700570274
1,72.436,4.01565,0,0,1700570274
1,72.6123,3.83902,0,0,1700570274
1,72.9547,3.68521,0,0,1700570274
1,73.1214,3.60758,0,0,1700570274
1,73.0318,3.59207,0,0,1700570274
1,72.8499,3.54308,0,0,1700570274
1,72.7506,3.40947,0,0,1700570274
1,72.7632,3.26722,0,0,1700570274
1,72.8557,3.21404,0,0,1700570274
1,73.0175,3.26417,0,0,1700570274
1,73.1153,3.33362,0,0,1700570274
1,73.0053,3.35298,0,0,1700570274
1,72.8187,3.35979,0,0,1700570274
1,72.6185,3.41779,0,0,1700570274
1,72.3152,3.50806,0,0,1700570274
1,72.0628,3.57248,0,0,1700570274
1,72,3.64311,0,0,1700570274
1,72.0416,3.76207,0,0,1700570274
1,72.1365,3.87101,0,0,1700570274
1,72.3173,3.94318,0,0,1700570274
1,72.5447,3.99638,0,0,1700570274
1,72.664,4.01805,0,0,1700570274
1,72.6802,4.04705,0,0,1700570274
1,72.7198,4.14979,0,0,1700570274
1,72.7672,4.2923,0,0,1700570274
1,72.8285,4.37914,0,0,1700570274
1,72.9487,4.38726,0,0,1700570274
1,73.0346,4.37114,0,0,1700570274
1,73.0354,4.36823,0,0,1700570274
1,73.0758,4.36043,0,0,1700570274
1,73.2077,4.35185,0,0,1700570274
1,73.2903,4.39694,0,0,1700570274
1,73.3027,4.48641,0,0,1700570274
1,73.3597,4.56141,0,0,1700570274
1,73.3896,4.61358,0,0,1700570274
1,73.3354,4.64277,0,0,1700570274
1,73.3171,4.63662,0,0,1700570274
1,73.3393,4.62009,0,0,1700570274
1,73.3037,4.62937,0,0,1700570274
1,73.2129,4.67361,0,0,1700570274
1,73.1084,4.73154,0,0,1700570274
1,72.9959,4.78068,0,0,1700570274
1,72.9676,4.83372,0,0,1700570274
1,73.124,4.89547,0,0,1700570274
1,73.3384,4.95144,0,0,1700570274
1,73.4261,5.01165,0,0,1700570274
1,73.3896,5.07838,0,0,1700570274
1,73.379,5.12546,0,0,1700570274
1,73.4683,5.13928,0,0,1700570274
1,73.5257,5.13475,0,0,1700570274
1,73.477,5.12909,0,0,1700570274
1,73.4184,5.11689,0,0,1700570274
1,73.3983,5.08244,0,0,1700570274
1,73.4097,5.03175,0,0,1700570274
1,73.452,4.9851,0,0,1700570274
1,73.4987,4.94189,0,0,1700570274
1,73.5296,4.9149,0,0,1700570274
1,73.5509,4.92954,0,0,1700570274
1,73.5708,4.95117,0,0,1700570274
1,73.5793,4.9348,0,0,1700570274
1,73.5553,4.89225,0,0,1700570274
1,73.53,4.84562,0,0,1700570274
1,73.5704,4.81351,0,0,1700570274
1,73.6534,4.81387,0,0,1700570274
1,73.6889,4.83438,0,0,1700570274
1,73.6738,4.84961,0,0,1700570274
1,73.6633,4.86316,0,0,1700570274
1,73.6594,4.89268,0,0,1700570274
1,73.6606,4.92531,0,0,1700570274
1,73.709,4.93583,0,0,1700570274
1,73.7943,4.92612,0,0,1700570274
1,73.856,4.91165,0,0,1700570274
1,73.8976,4.90119,0,0,1700570274
1,73.9573,4.90697,0,0,1700570274
1,74.0401,4.92973,0,0,1700570274
1,74.1333,4.95396,0,0,1700570274
1,74.2123,4.97696,0,0,1700570274
1,74.2522,4.99531,0,0,1700570274
1,74.2487,5.00057,0,0,1700570274
1,74.2321,4.99976,0,0,1700570274
1,74.2319,4.99396,0,0,1700570274
1,74.2429,4.98111,0,0,1700570274
1,74.2559,4.97022,0,0,1700570274
1,74.2499,4.96478,0,0,1700570274
1,74.2081,4.9671,0,0,1700570274
1,74.1565,4.97114,0,0,1700570274
1,74.129,4.96682,0,0,1700570274
1,74.1203,4.96192,0,0,1700570274
1,74.1065,4.95866,0,0,1700570274
1,74.0873,4.95595,0,0,1700570274
1,74.0478,4.96363,0,0,1700570274
1,73.9999,4.98146,0,0,1700570274
1,74.0172,5.00087,0,0,1700570274
1,74.1104,5.01206,0,0,1700570274
1,74.2185,5.01873,0,0,1700570274
1,74.2788,5.03351,0,0,1700570274
1,74.2709,5.06047,0,0,1700570274
1,74.2416,5.0942,0,0,1700570274
1,74.2248,5.1082,0,0,1700570274
1,74.1958,5.09004,0,0,1700570274
1,74.1515,5.06295,0,0,1700570274
1,74.1477,5.03884,0,0,1700570274
1,74.1813,5.01712,0,0,1700570274
1,74.1708,5.00628,0,0,1700570274
1,74.1145,5.00617,0,0,1700570274
1,74.0748,4.99995,0,0,1700570274
1,74.0539,4.97916,0,0,1700570274
1,74.0289,4.95624,0,0,1700570274
1,74.0052,4.93761,0,0,1700570274
1,73.9926,4.91506,0,0,1700570274
1,73.9876,4.89072,0,0,1700570274
1,73.9757,4.87391,0,0,1700570274
1,73.9513,4.86334,0,0,1700570274
1,73.9229,4.85579,0,0,1700570274
1,73.8992,4.85232,0,0,1700570274
1,73.8796,4.84976,0,0,1700570274
1,73.8556,4.83938,0,0,1700570274
1,73.834,4.82142,0,0,1700570274
1,73.8236,4.80524,0,0,1700570274
1,73.815,4.79205,0,0,1700570274
1,73.792,4.78666,0,0,1700570274
1,73.7415,4.80112,0,0,1700570274
1,73.6809,4.82226,0,0,1700570274
1,73.6604,4.83056,0,0,1700570274
1,73.6984,4.83569,0,0,1700570274
1,73.7465,4.84478,0,0,1700570274
1,73.7706,4.84597,0,0,1700570274
1,73.7955,4.8334,0,0,1700570274
1,73.8259,4.81481,0,0,1700570274
1,73.8249,4.80071,0,0,1700570274
1,73.7927,4.79499,0,0,1700570274
1,73.7776,4.79858,0,0,1700570274
1,73.7966,4.80882,0,0,1700570274
1,73.8105,4.8232,0,0,1700570274
1,73.7921,4.8395,0,0,1700570274
1,73.7714,4.84395,0,0,1700570274
1,73.7693,4.83257,0,0,1700570274
1,73.7478,4.82263,0,0,1700570274
1,73.7154,4.8222,0,0,1700570274
1,73.7365,4.82694,0,0,1700570274
1,73.79,4.84051,0,0,1700570274
1,73.8024,4.86055,0,0,1700570274
1,73.7797,4.87399,0,0,1700570274
1,73.7657,4.88137,0,0,1700570274
1,73.7617,4.88729,0,0,1700570274
1,73.7543,4.88749,0,0,1700570274
1,73.7415,4.88919,0,0,1700570274
1,73.7329,4.90165,0,0,1700570274
1,73.7322,4.91072,0,0,1700570274
1,73.7188,4.90219,0,0,1700570274
1,73.691,4.88381,0,0,1700570274
1,73.6812,4.86523,0,0,1700570274
1,73.6961,4.84889,0,0,1700570274
1,73.7076,4.83605,0,0,1700570274
1,73.7077,4.82637,0,0,1700570274
1,73.7136,4.81761,0,0,1700570274
1,73.7289,4.80669,0,0,1700570274
1,73.7358,4.79571,0,0,1700570274
1,73.7242,4.78831,0,0,1700570274
1,73.7102,4.78565,0,0,1700570274
1,73.6978,4.78817,0,0,1700570274
1,73.6832,4.78992,0,0,1700570274
1,73.687,4.78826,0,0,1700570274
1,73.7205,4.78912,0,0,1700570274
1,73.7703,4.79284,0,0,1700570274
1,73.8123,4.79695,0,0,1700570274
1,73.8322,4.79886,0,0,1700570274
1,73.8391,4.79338,0,0,1700570274
1,73.8432,4.78048,0,0,1700570274
1,73.8548,4.76491,0,0,1700570274
1,73.8821,4.75432,0,0,1700570274
1,73.9086,4.7571,0,0,1700570274
1,73.9104,4.76699,0,0,1700570274
1,73.885,4.77068,0,0,1700570274
1,73.8489,4.76971,0,0,1700570274
1,73.8151,4.76704,0,0,1700570274
1,73.7844,4.75643,0,0,1700570274
1,73.758,4.7396,0,0,1700570274
1,73.7431,4.72673,0,0,1700570274
1,73.7373,4.72048,0,0,1700570274
1,73.7284,4.71659,0,0,1700570274
1,73.727,4.71462,0,0,1700570274
1,73.7481,4.71885,0,0,1700570274
1,73.7737,4.72722,0,0,1700570274
1,73.7824,4.72954,0,0,1700570274
1,73.7784,4.72189,0,0,1700570274
1,73.7731,4.70894,0,0,1700570274
1,73.7619,4.69439,0,0,1700570274
1,73.748,4.68246,0,0,1700570274
1,73.7536,4.68147,0,0,1700570274
1,73.7778,4.69258,0,0,1700570274
1,73.8112,4.70325,0,0,1700570274
1,73.8545,4.70455,0,0,1700570274
1,73.8868,4.69857,0,0,1700570274
1,73.8948,4.68796,0,0,1700570274
1,73.9022,4.6777,0,0,1700570274
1,73.9257,4.67476,0,0,1700570274
1,73.9611,4.67635,0,0,1700570274
1,73.9968,4.67358,0,0,1700570274
1,74.0209,4.66971,0,0,1700570274
1,74.0305,4.67387,0,0,1700570274
1,74.0287,4.68295,0,0,1700570274
1,74.0212,4.69341,0,0,1700570274
1,74.0085,4.707,0,0,1700570274
