Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,89.3089,7.66026,0,0,1700570629
1,130.567,5.34898,0,0,1700570629
1,118.205,2.59392,0,0,1700570629
1,109.522,2.38971,0,0,1700570629
1,93.1204,12.138,0,0,1700570629
1,100.629,7.08426,0,0,1700570629
1,95.9126,1.77236,0,0,1700570629
1,132.177,7.92714,0,0,1700570629
1,103.686,7.08408,0,0,1700570629
1,79.6914,9.38412,0,0,1700570629
1,105.168,3.058,0,0,1700570629
1,117.636,5.16186,0,0,1700570629
1,106.444,12.9553,0,0,1700570629
1,99.9453,2.90858,0,0,1700570629
1,122.146,4.64578,0,0,1700570629
1,126.332,10.6029,0,0,1700570629
1,102.33,2.78052,0,0,1700570629
1,110.112,0.10422,0,0,1700570629
1,123.242,4.66673,0,0,1700570629
1,130.635,2.31093,0,0,1700570629
1,116.912,1.93146,0,0,1700570629
1,140.103,3.89106,0,0,1700570629
1,118.341,22.4588,0,0,1700570629
1,113.487,1.24006,0,0,1700570629
1,117.788,9.80567,0,0,1700570629
1,123.388,0.140891,0,0,1700570629
1,120.467,2.80601,0,0,1700570629
1,100.14,8.43665,0,0,1700570629
1,132.588,3.64069,0,0,1700570629
1,89.5944,5.12293,0,0,1700570629
1,119.385,9.40857,0,0,1700570629
1,107.034,7.55702,0,0,1700570629
1,87.4978,6.11465,0,0,1700570629
1,98.3492,1.97447,0,0,1700570629
1,111.12,12.3138,0,0,1700570629
1,97.3168,15.9917,0,0,1700570629
1,123.919,5.34662,0,0,1700570629
1,109.513,1.08384,0,0,1700570629
1,117.183,19.1992,0,0,1700570629
1,137.863,6.4779,0,0,1700570629
1,131.495,16.4478,0,0,1700570629
1,95.4956,0.917534,0,0,1700570629
1,109.85,21.3896,0,0,1700570629
1,110.116,1.96301,0,0,1700570629
1,107.009,0.0968279,0,0,1700570629
1,91.6769,4.96424,0,0,1700570629
1,111.31,9.20629,0,0,1700570629
1,113.029,2.59207,0,0,1700570629
1,123.085,10.3535,0,0,1700570629
1,120.733,4.09921,0,0,1700570629
1,119.419,9.45726,0,0,1700570629
1,119.17,7.74557,0,0,1700570629
1,127.122,10.8988,0,0,1700570629
1,116.55,5.71537,0,0,1700570629
1,120.34,10.807,0,0,1700570629
1,120.25,14.6237,0,0,1700570629
1,131.812,7.92022,0,0,1700570629
1,106.995,3.35229,0,0,1700570629
1,98.7863,17.395,0,0,1700570629
1,108.847,10.1937,0,0,1700570629
1,118.279,1.62992,0,0,1700570629
1,111.845,13.2704,0,0,1700570629
1,116.633,12.4312,0,0,1700570629
1,144.132,17.4063,0,0,1700570629
1,82.2888,3.34396,0,0,1700570629
1,109.61,1.54976,0,0,1700570629
1,94.1191,15.0214,0,0,1700570629
1,123.239,5.63151,0,0,1700570629
1,121.926,11.1717,0,0,1700570629
1,91.4023,5.08688,0,0,1700570629
1,129.172,3.78553,0,0,1700570629
1,83.6136,3.36403,0,0,1700570629
1,109.638,9.85916,0,0,1700570629
1,111.68,10.5366,0,0,1700570629
1,109.957,10.7512,0,0,1700570629
1,111.397,6.49712,0,0,1700570629
1,112.723,9.36894,0,0,1700570629
1,102.123,6.92275,0,0,1700570629
1,132.877,10.5606,0,0,1700570629
1,114.569,0.351397,0,0,1700570629
1,111.846,12.7503,0,0,1700570629
1,123.927,4.91291,0,0,1700570629
1,128.649,1.05352,0,0,1700570629
1,84.7772,4.16659,0,0,1700570629
1,114.858,0.901252,0,0,1700570629
1,127.853,2.51442,0,0,1700570629
1,109.082,17.8519,0,0,1700570629
1,117.834,16.7776,0,0,1700570629
1,127.094,0.962875,0,0,1700570629
1,112.288,10.0291,0,0,1700570629
1,114.013,2.26723,0,0,1700570629
1,104.056,5.09769,0,0,1700570629
1,107.044,2.15205,0,0,1700570629
1,100.278,11.9058,0,0,1700570629
1,100.124,6.51688,0,0,1700570629
1,123.335,4.82406,0,0,1700570629
1,107.655,2.70496,0,0,1700570629
1,109.676,3.56526,0,0,1700570629
1,93.3702,9.75032,0,0,1700570629
1,130.431,5.50354,0,0,1700570629
1,105.57,2.79124,0,0,1700570629
1,97.0949,8.73973,0,0,1700570629
1,119.01,14.7049,0,0,1700570629
1,111.094,5.02954,0,0,1700570629
1,120.332,19.8977,0,0,1700570629
1,117.498,7.849,0,0,1700570629
1,133.542,7.7071,0,0,1700570629
1,111.725,4.45089,0,0,1700570629
1,112.024,3.13273,0,0,1700570629
1,87.7814,4.56675,0,0,1700570629
1,113.788,10.6183,0,0,1700570629
1,118.681,2.23158,0,0,1700570629
1,112.589,7.33313,0,0,1700570629
1,91.3288,2.50221,0,0,1700570629
1,111.235,16.7028,0,0,1700570629
1,129.947,3.57944,0,0,1700570629
