Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,40.503,40.6722,0,0,1699875690
1,42.6615,26.8299,0,0,1699875690
1,34.5623,17.1265,0,0,1699875690
1,24.2449,15.8801,0,0,1699875690
1,21.8799,23.5616,0,0,1699875690
1,27.2214,35.0934,0,0,1699875690
1,33.2569,36.2802,0,0,1699875690
1,36.0383,26.535,0,0,1699875690
1,36.7066,18.3811,0,0,1699875690
1,39.7062,17.2886,0,0,1699875690
1,44.6831,19.4142,0,0,1699875690
1,43.1378,17.1328,0,0,1699875690
1,37.6222,11.7506,0,0,1699875690
1,37.3995,11.8176,0,0,1699875690
1,38.8388,14.6656,0,0,1699875690
1,36.4317,14.4138,0,0,1699875690
1,31.0998,12.3862,0,0,1699875690
1,28.2514,11.875,0,0,1699875690
1,33.3295,13.1552,0,0,1699875690
1,37.4566,13.7859,0,0,1699875690
1,35.3182,15.9286,0,0,1699875690
1,37.2478,19.0181,0,0,1699875690
1,40.8064,16.0873,0,0,1699875690
1,37.1453,8.61181,0,0,1699875690
1,32.6002,5.9291,0,0,1699875690
1,36.9854,13.7252,0,0,1699875690
1,44.0803,23.2104,0,0,1699875690
1,40.0946,19.3281,0,0,1699875690
1,32.3454,9.33219,0,0,1699875690
1,32.7208,16.0217,0,0,1699875690
1,41.7574,37.7575,0,0,1699875690
1,54.9015,17.0443,0,0,1699875690
1,54.3066,34.1969,0,0,1699875690
1,39.701,21.1035,0,0,1699875690
1,33.1542,25.9225,0,0,1699875690
1,54.6751,36.4305,0,0,1699875690
1,90.8224,29.1988,0,0,1699875690
1,86.0482,13.7654,0,0,1699875690
1,44.6089,11.5205,0,0,1699875690
1,25.5111,14.6012,0,0,1699875690
1,31.4162,12.1487,0,0,1699875690
1,36.7828,9.34267,0,0,1699875690
1,37.9944,9.88489,0,0,1699875690
1,42.847,10.9068,0,0,1699875690
1,50.5778,9.47844,0,0,1699875690
1,47.0304,10.2152,0,0,1699875690
1,34.6948,16.9922,0,0,1699875690
1,28.1041,23.1399,0,0,1699875690
1,29.477,23.3009,0,0,1699875690
1,34.375,16.4935,0,0,1699875690
1,35.2545,8.29455,0,0,1699875690
1,29.7448,8.05389,0,0,1699875690
1,27.8107,10.9602,0,0,1699875690
1,32.6672,8.60865,0,0,1699875690
1,35.2225,5.23341,0,0,1699875690
1,32.2407,6.78274,0,0,1699875690
1,31.9048,13.1457,0,0,1699875690
1,38.9823,20.9991,0,0,1699875690
1,47.7412,23.174,0,0,1699875690
1,51.3876,19.2056,0,0,1699875690
1,49.1233,20.3078,0,0,1699875690
1,42.748,25.5799,0,0,1699875690
1,36.1726,23.0816,0,0,1699875690
1,31.7215,16.4353,0,0,1699875690
1,33.2979,16.2314,0,0,1699875690
1,43.285,21.2728,0,0,1699875690
1,48.4869,24.5292,0,0,1699875690
1,43.1126,23.7319,0,0,1699875690
1,40.0229,21.7757,0,0,1699875690
1,44.1807,21.0861,0,0,1699875690
1,46.3703,20.7324,0,0,1699875690
1,40.2104,16.5206,0,0,1699875690
1,33.3235,8.75794,0,0,1699875690
1,33.6203,4.19802,0,0,1699875690
1,37.9089,6.80732,0,0,1699875690
1,41.9119,14.4142,0,0,1699875690
1,42.5488,17.6201,0,0,1699875690
1,40.7925,12.9875,0,0,1699875690
1,44.4384,9.25043,0,0,1699875690
1,49.2321,9.25901,0,0,1699875690
1,43.6066,12.6755,0,0,1699875690
1,33.7457,18.6088,0,0,1699875690
1,31.4135,18.3562,0,0,1699875690
1,39.1992,10.8558,0,0,1699875690
1,46.9792,5.76166,0,0,1699875690
1,45.3271,5.79021,0,0,1699875690
1,40.6574,7.95127,0,0,1699875690
1,37.3702,10.9707,0,0,1699875690
1,34.2485,12.2974,0,0,1699875690
1,33.4434,13.3748,0,0,1699875690
1,35.2762,18.2973,0,0,1699875690
1,34.8808,21.6898,0,0,1699875690
1,28.6712,19.6659,0,0,1699875690
1,25.1415,21.56,0,0,1699875690
1,33.6853,36.9793,0,0,1699875690
1,43.9298,17.0443,0,0,1699875690
1,53.8774,17.0443,0,0,1699875690
1,68.9675,32.7127,0,0,1699875690
1,71.1075,36.4013,0,0,1699875690
1,60.3102,40.7538,0,0,1699875690
1,50.8162,25.5415,0,0,1699875690
1,40.805,12.8016,0,0,1699875690
1,35.6296,16.0574,0,0,1699875690
1,36.704,21.2481,0,0,1699875690
1,39.4607,18.3069,0,0,1699875690
1,41.5946,11.9798,0,0,1699875690
1,39.7803,9.14467,0,0,1699875690
1,37.2269,9.45091,0,0,1699875690
1,38.1725,8.92076,0,0,1699875690
1,42.0688,8.34523,0,0,1699875690
1,44.6562,8.93699,0,0,1699875690
1,44.0548,7.54402,0,0,1699875690
1,40.7885,4.79087,0,0,1699875690
1,37.9641,3.1943,0,0,1699875690
1,35.9834,2.05283,0,0,1699875690
